ward,month,actual,predicted
Abbey,2023-04-01,13,9.049731925947874
Abbey,2023-05-01,6,9.049731925947874
Abbey,2023-06-01,10,9.049731925947874
Abbey,2023-07-01,5,9.049731925947874
Abbey,2023-08-01,13,9.049731925947874
Abbey,2023-09-01,20,9.049731925947874
Abbey,2023-10-01,5,9.049731925947874
Abbey,2023-11-01,20,9.049731925947874
Abbey,2023-12-01,6,9.049731925947874
Abbey,2024-01-01,13,9.049731925947874
Abbey,2024-02-01,8,9.049731925947874
Abbey,2024-03-01,14,9.049731925947874
Abbey,2024-04-01,9,9.049731925947874
Abbey,2024-05-01,11,9.049731925947874
Abbey,2024-06-01,5,9.049731925947874
Abbey,2024-07-01,6,9.049731925947874
Abbey,2024-08-01,9,9.049731925947874
Abbey,2024-09-01,5,9.049731925947874
Abbey,2024-10-01,6,9.049731925947874
Abbey,2024-11-01,7,9.049731925947874
Abbey,2024-12-01,12,9.049731925947874
Abbey,2025-01-01,9,9.049731925947874
Abbey,2025-02-01,6,9.049731925947874
Abbey,2025-03-01,6,9.049731925947874
Abbey Road,2023-04-01,9,6.3174603410421755
Abbey Road,2023-05-01,11,6.3174603410421755
Abbey Road,2023-06-01,11,6.3174603410421755
Abbey Road,2023-07-01,11,6.3174603410421755
Abbey Road,2023-08-01,5,6.3174603410421755
Abbey Road,2023-09-01,5,6.3174603410421755
Abbey Road,2023-10-01,11,6.3174603410421755
Abbey Road,2023-11-01,7,6.3174603410421755
Abbey Road,2023-12-01,8,6.3174603410421755
Abbey Road,2024-01-01,14,6.3174603410421755
Abbey Road,2024-02-01,9,6.3174603410421755
Abbey Road,2024-03-01,12,6.3174603410421755
Abbey Road,2024-04-01,6,6.3174603410421755
Abbey Road,2024-05-01,5,6.3174603410421755
Abbey Road,2024-06-01,6,6.3174603410421755
Abbey Road,2024-07-01,8,6.3174603410421755
Abbey Road,2024-08-01,8,6.3174603410421755
Abbey Road,2024-09-01,6,6.3174603410421755
Abbey Road,2024-10-01,8,6.3174603410421755
Abbey Road,2024-11-01,4,6.3174603410421755
Abbey Road,2024-12-01,8,6.3174603410421755
Abbey Road,2025-01-01,6,6.3174603410421755
Abbey Road,2025-02-01,13,6.3174603410421755
Abbey Road,2025-03-01,3,6.3174603410421755
Abbey Wood,2023-04-01,5,8.099024113926582
Abbey Wood,2023-05-01,3,8.446217839216622
Abbey Wood,2023-06-01,4,6.536652350121401
Abbey Wood,2023-07-01,8,8.099024113926582
Abbey Wood,2023-08-01,4,8.446217839216622
Abbey Wood,2023-09-01,5,7.404636663346501
Abbey Wood,2023-10-01,4,3.75910254780108
Abbey Wood,2023-11-01,5,8.79341156450666
Abbey Wood,2023-12-01,6,8.2726209765716
Abbey Wood,2024-01-01,8,7.75183038863654
Abbey Wood,2024-02-01,4,6.710249212766419
Abbey Wood,2024-03-01,2,8.619814701861639
Abbey Wood,2024-04-01,13,7.734640113132681
Abbey Wood,2024-05-01,12,7.674368371692292
Abbey Wood,2024-06-01,7,8.005862949614427
Abbey Wood,2024-07-01,6,7.734640113132681
Abbey Wood,2024-08-01,12,7.674368371692292
Abbey Wood,2024-09-01,11,7.855183596013456
Abbey Wood,2024-10-01,6,8.488036881137528
Abbey Wood,2024-11-01,5,7.614096630251904
Abbey Wood,2024-12-01,5,7.704504242412486
Abbey Wood,2025-01-01,2,7.794911854573067
Abbey Wood,2025-02-01,7,7.975727078894231
Abbey Wood,2025-03-01,5,7.644232500972097
Abingdon,2023-04-01,7,5.750000000000001
Abingdon,2023-05-01,4,5.750000000000001
Abingdon,2023-06-01,3,5.750000000000001
Abingdon,2023-07-01,3,5.750000000000001
Abingdon,2023-08-01,7,5.750000000000001
Abingdon,2023-09-01,7,5.750000000000001
Abingdon,2023-10-01,4,5.750000000000001
Abingdon,2023-11-01,4,5.750000000000001
Abingdon,2023-12-01,8,5.750000000000001
Abingdon,2024-01-01,2,5.750000000000001
Abingdon,2024-02-01,4,5.750000000000001
Abingdon,2024-03-01,4,5.750000000000001
Abingdon,2024-04-01,2,5.750000000000001
Abingdon,2024-05-01,1,5.750000000000001
Abingdon,2024-06-01,6,5.750000000000001
Abingdon,2024-07-01,7,5.750000000000001
Abingdon,2024-08-01,3,5.750000000000001
Abingdon,2024-09-01,6,5.750000000000001
Abingdon,2024-10-01,5,5.750000000000001
Abingdon,2024-11-01,6,5.750000000000001
Abingdon,2024-12-01,0,5.750000000000001
Abingdon,2025-01-01,1,5.750000000000001
Abingdon,2025-02-01,3,5.750000000000001
Abingdon,2025-03-01,4,5.750000000000001
Addiscombe East,2023-04-01,3,5.009636967394529
Addiscombe East,2023-05-01,7,5.009636967394529
Addiscombe East,2023-06-01,4,5.009636967394529
Addiscombe East,2023-07-01,4,5.009636967394529
Addiscombe East,2023-08-01,4,5.009636967394529
Addiscombe East,2023-09-01,4,5.009636967394529
Addiscombe East,2023-10-01,5,5.009636967394529
Addiscombe East,2023-11-01,7,5.009636967394529
Addiscombe East,2023-12-01,6,5.009636967394529
Addiscombe East,2024-01-01,4,5.009636967394529
Addiscombe East,2024-02-01,12,5.009636967394529
Addiscombe East,2024-03-01,17,5.009636967394529
Addiscombe East,2024-04-01,5,5.009636967394529
Addiscombe East,2024-05-01,2,5.009636967394529
Addiscombe East,2024-06-01,4,5.009636967394529
Addiscombe East,2024-07-01,0,5.009636967394529
Addiscombe East,2024-08-01,2,5.009636967394529
Addiscombe East,2024-09-01,5,5.009636967394529
Addiscombe East,2024-10-01,1,5.009636967394529
Addiscombe East,2024-11-01,2,5.009636967394529
Addiscombe East,2024-12-01,3,5.009636967394529
Addiscombe East,2025-01-01,6,5.009636967394529
Addiscombe East,2025-02-01,4,5.009636967394529
Addiscombe East,2025-03-01,12,5.009636967394529
Addiscombe West,2023-04-01,14,8.495399275316645
Addiscombe West,2023-05-01,14,7.9350000192914445
Addiscombe West,2023-06-01,7,7.9350000192914445
Addiscombe West,2023-07-01,7,7.9350000192914445
Addiscombe West,2023-08-01,5,7.9350000192914445
Addiscombe West,2023-09-01,5,7.9350000192914445
Addiscombe West,2023-10-01,6,7.9350000192914445
Addiscombe West,2023-11-01,8,7.9350000192914445
Addiscombe West,2023-12-01,16,7.9350000192914445
Addiscombe West,2024-01-01,9,7.9350000192914445
Addiscombe West,2024-02-01,10,7.9350000192914445
Addiscombe West,2024-03-01,7,7.9350000192914445
Addiscombe West,2024-04-01,9,7.9350000192914445
Addiscombe West,2024-05-01,6,7.9350000192914445
Addiscombe West,2024-06-01,10,7.9350000192914445
Addiscombe West,2024-07-01,3,7.9350000192914445
Addiscombe West,2024-08-01,3,7.9350000192914445
Addiscombe West,2024-09-01,10,7.9350000192914445
Addiscombe West,2024-10-01,7,7.9350000192914445
Addiscombe West,2024-11-01,5,7.9350000192914445
Addiscombe West,2024-12-01,11,7.9350000192914445
Addiscombe West,2025-01-01,7,7.9350000192914445
Addiscombe West,2025-02-01,3,7.9350000192914445
Addiscombe West,2025-03-01,13,7.9350000192914445
Addison,2023-04-01,3,3.5275129538095387
Addison,2023-05-01,7,3.5275129538095387
Addison,2023-06-01,6,3.5275129538095387
Addison,2023-07-01,5,3.5275129538095387
Addison,2023-08-01,2,3.5275129538095387
Addison,2023-09-01,6,3.5275129538095387
Addison,2023-10-01,4,3.5275129538095387
Addison,2023-11-01,2,3.5275129538095387
Addison,2023-12-01,5,3.5275129538095387
Addison,2024-01-01,2,3.5275129538095387
Addison,2024-02-01,6,3.5275129538095387
Addison,2024-03-01,10,3.5275129538095387
Addison,2024-04-01,4,3.5275129538095387
Addison,2024-05-01,3,3.5275129538095387
Addison,2024-06-01,5,3.5275129538095387
Addison,2024-07-01,8,3.5275129538095387
Addison,2024-08-01,3,3.5275129538095387
Addison,2024-09-01,4,3.5275129538095387
Addison,2024-10-01,3,3.5275129538095387
Addison,2024-11-01,5,3.5275129538095387
Addison,2024-12-01,13,3.5275129538095387
Addison,2025-01-01,2,3.5275129538095387
Addison,2025-02-01,5,3.5275129538095387
Addison,2025-03-01,2,3.5275129538095387
Aldborough,2023-04-01,7,4.3990895522919296
Aldborough,2023-05-01,5,4.4366089696357225
Aldborough,2023-06-01,2,4.380158752153849
Aldborough,2023-07-01,0,4.564099583467805
Aldborough,2023-08-01,7,5.415599014734443
Aldborough,2023-09-01,1,4.657862503237934
Aldborough,2023-10-01,3,4.394748931022186
Aldborough,2023-11-01,2,5.893920109868653
Aldborough,2023-12-01,1,4.2282339496236325
Aldborough,2024-01-01,6,5.059846528517418
Aldborough,2024-02-01,10,4.7768461039288175
Aldborough,2024-03-01,9,4.299274345973841
Aldborough,2024-04-01,8,3.8449902176780952
Aldborough,2024-05-01,7,3.791297729853439
Aldborough,2024-06-01,5,3.7306983424236515
Aldborough,2024-07-01,5,3.854657683329368
Aldborough,2024-08-01,12,4.0276835151176895
Aldborough,2024-09-01,5,3.081090354172335
Aldborough,2024-10-01,6,3.6728595210400057
Aldborough,2024-11-01,6,4.227269432219986
Aldborough,2024-12-01,5,3.0470510520565224
Aldborough,2025-01-01,9,3.5523944723538983
