ward,mae,rmse,smape,mase
Abbey,3.429099648153635,4.336202483797688,36.331757820141206,0.6051352320271121
Abbey Road,2.670634914739456,3.3830010809623183,34.48281360319334,0.667658728684864
Abbey Wood,2.9558495098950295,3.4340364914525443,44.82788996190792,0.6954940023282422
Abingdon,2.2083333333333335,2.637865298557403,53.32171436894356,0.8030303030303031
Addiscombe East,2.5456820697477203,3.7357752826722948,51.02062970678685,0.7450776789505523
Addiscombe West,2.8462333659399035,3.4940890813167824,36.35492268208452,0.6697019684564479
Addison,2.0764550948809486,2.9319530178055975,44.205296242165666,0.7550745799567086
Aldborough,2.936462391017456,3.4189958761028376,64.70803511112759,0.8194778765630109
Aldbourne & Ramsbury,0.0,0.0,0.0,
Aldenham East,0.0,0.0,0.0,
Aldersgate,0.6768018014536054,0.7534717956247818,139.4702160132166,0.7383292379493877
Alexandra,1.018581081081081,1.3774672399291967,68.30181342958936,0.6111486486486485
Alexandra Park,2.101687178537094,3.1333030373246715,52.72953276132631,0.9700094670171204
Alibon,1.5936897410450044,2.34089653728993,62.93646146037505,0.8314902996756545
Alperton,2.482424305977266,3.150117793134098,43.80341935781008,0.6770248107210726
Alvaston North,0.0,0.0,0.0,
Ardwick,0.0,0.0,0.0,
Arnos Grove,2.650908398301732,3.0554657000397665,39.46029743266959,1.0969276130903718
Arsenal,2.988671074300658,3.4960925783479264,39.67384732165719,1.1569049319873514
Ashdown,0.08333333333333333,0.408248290463863,8.333333291666667,0.5
Ashford East,0.10981957352535944,0.20239393907127973,198.83799847184235,1.3178348823043133
Ashford North and Stanwell South,0.09065786794458501,0.2000967042258604,199.1473813851724,1.0878944153350203
Ashford Town,0.0,0.0,0.0,
Ashtead Park,0.0,0.0,0.0,
Auriol,0.0,0.0,0.0,
Aveley and Uplands,0.17567567556600536,0.17567567556600533,199.99998861538526,
Avonmore,1.7093622246294888,2.0719189170558585,45.77918742337345,0.707322299846685
Balham,3.6182214098261487,5.540141577540577,27.9698872783304,0.7236442819652298
Banstead Village,0.06659645246478298,0.2014664741232803,199.6488391274589,0.7991574295773958
Barking Riverside,3.3492965807382915,3.9705787268900283,59.255376012885364,1.0047889742214875
Barkingside,2.7430773758084386,3.433346039133397,71.54544564452884,0.6857693439521096
Barnehurst,1.4420668164082218,1.5969292539520024,102.05065560470797,0.8240381808046982
Barnes,2.5328574715976484,3.285504804987165,49.007411022768174,0.6754286590927062
Barnet Vale,3.377161165181151,4.26328624252086,49.04065012326026,0.8809985648298655
Barnhill,1.9032095685532002,2.279338134014845,48.56100749889805,0.9929789053321044
