ward,month,forecast
Abbey,2025-04-01,7.655417296258268
Abbey,2025-05-01,7.655417296258268
Abbey,2025-06-01,7.655417296258268
Abbey,2025-07-01,7.655417296258268
Abbey,2025-08-01,7.655417296258268
Abbey,2025-09-01,7.655417296258268
Abbey,2025-10-01,7.655417296258268
Abbey,2025-11-01,7.655417296258268
Abbey,2025-12-01,7.655417296258268
Abbey,2026-01-01,7.655417296258268
Abbey,2026-02-01,7.655417296258268
Abbey,2026-03-01,7.655417296258268
Abbey Road,2025-04-01,7.076752593649648
Abbey Road,2025-05-01,7.076752593649648
Abbey Road,2025-06-01,7.076752593649648
Abbey Road,2025-07-01,7.076752593649648
Abbey Road,2025-08-01,7.076752593649648
Abbey Road,2025-09-01,7.076752593649648
Abbey Road,2025-10-01,7.076752593649648
Abbey Road,2025-11-01,7.076752593649648
Abbey Road,2025-12-01,7.076752593649648
Abbey Road,2026-01-01,7.076752593649648
Abbey Road,2026-02-01,7.076752593649648
Abbey Road,2026-03-01,7.076752593649648
Abbey Wood,2025-04-01,4.768440311687616
Abbey Wood,2025-05-01,4.934775474166497
Abbey Wood,2025-06-01,5.766451286560901
Abbey Wood,2025-07-01,5.932786449039782
Abbey Wood,2025-08-01,4.934775474166497
Abbey Wood,2025-09-01,5.1011106366453784
Abbey Wood,2025-10-01,5.932786449039782
Abbey Wood,2025-11-01,6.0991216115186635
Abbey Wood,2025-12-01,6.0991216115186635
Abbey Wood,2026-01-01,6.598127098955306
Abbey Wood,2026-02-01,5.766451286560902
Abbey Wood,2026-03-01,6.0991216115186635
Abingdon,2025-04-01,5.634373423555081
Abingdon,2025-05-01,5.634373423555081
Abingdon,2025-06-01,5.634373423555081
Abingdon,2025-07-01,5.634373423555081
Abingdon,2025-08-01,5.634373423555081
Abingdon,2025-09-01,5.634373423555081
Abingdon,2025-10-01,5.634373423555081
Abingdon,2025-11-01,5.634373423555081
Abingdon,2025-12-01,5.634373423555081
Abingdon,2026-01-01,5.634373423555081
Abingdon,2026-02-01,5.634373423555081
Abingdon,2026-03-01,5.634373423555081
Addiscombe East,2025-04-01,5.544548212190543
Addiscombe East,2025-05-01,5.544548212190543
Addiscombe East,2025-06-01,5.544548212190543
Addiscombe East,2025-07-01,5.544548212190543
Addiscombe East,2025-08-01,5.544548212190543
Addiscombe East,2025-09-01,5.544548212190543
Addiscombe East,2025-10-01,5.544548212190543
Addiscombe East,2025-11-01,5.544548212190543
Addiscombe East,2025-12-01,5.544548212190543
Addiscombe East,2026-01-01,5.544548212190543
Addiscombe East,2026-02-01,5.544548212190543
Addiscombe East,2026-03-01,5.544548212190543
Addiscombe West,2025-04-01,9.230564718463967
Addiscombe West,2025-05-01,7.959801903103595
Addiscombe West,2025-06-01,7.959801903103595
Addiscombe West,2025-07-01,7.959801903103595
Addiscombe West,2025-08-01,7.959801903103595
Addiscombe West,2025-09-01,7.959801903103595
Addiscombe West,2025-10-01,7.959801903103595
Addiscombe West,2025-11-01,7.959801903103595
Addiscombe West,2025-12-01,7.959801903103595
Addiscombe West,2026-01-01,7.959801903103595
Addiscombe West,2026-02-01,7.959801903103595
Addiscombe West,2026-03-01,7.959801903103595
Addison,2025-04-01,4.719151758594501
Addison,2025-05-01,4.719151758594501
Addison,2025-06-01,4.719151758594501
Addison,2025-07-01,4.719151758594501
Addison,2025-08-01,4.719151758594501
Addison,2025-09-01,4.719151758594501
Addison,2025-10-01,4.719151758594501
Addison,2025-11-01,4.719151758594501
Addison,2025-12-01,4.719151758594501
Addison,2026-01-01,4.719151758594501
Addison,2026-02-01,4.719151758594501
Addison,2026-03-01,4.719151758594501
Aldborough,2025-04-01,5.354246094063971
Aldborough,2025-05-01,5.6694337236755175
Aldborough,2025-06-01,5.180528136770421
Aldborough,2025-07-01,4.9349004931725915
Aldborough,2025-08-01,6.136473555254822
Aldborough,2025-09-01,4.985216027890226
Aldborough,2025-10-01,5.240326931285336
Aldborough,2025-11-01,5.103013452070166
Aldborough,2025-12-01,4.898218083392691
Aldborough,2026-01-01,5.6807171483226915
Aldborough,2026-02-01,6.01749260155851
Aldborough,2026-03-01,5.475287785569513
Aldbourne & Ramsbury,2025-04-01,0.0
Aldbourne & Ramsbury,2025-05-01,0.0
Aldbourne & Ramsbury,2025-06-01,0.0
Aldbourne & Ramsbury,2025-07-01,0.0
Aldbourne & Ramsbury,2025-08-01,0.0
Aldbourne & Ramsbury,2025-09-01,0.0
Aldbourne & Ramsbury,2025-10-01,0.0
Aldbourne & Ramsbury,2025-11-01,0.0
Aldbourne & Ramsbury,2025-12-01,0.0
Aldbourne & Ramsbury,2026-01-01,0.0
Aldbourne & Ramsbury,2026-02-01,0.0
Aldbourne & Ramsbury,2026-03-01,0.0
Aldenham East,2025-04-01,0.0
Aldenham East,2025-05-01,0.0
Aldenham East,2025-06-01,0.0
Aldenham East,2025-07-01,0.0
Aldenham East,2025-08-01,0.0
Aldenham East,2025-09-01,0.0
Aldenham East,2025-10-01,0.0
Aldenham East,2025-11-01,0.0
Aldenham East,2025-12-01,0.0
Aldenham East,2026-01-01,0.0
Aldenham East,2026-02-01,0.0
Aldenham East,2026-03-01,0.0
Aldersgate,2025-04-01,0.6218399512665103
Aldersgate,2025-05-01,0.6218399512665103
Aldersgate,2025-06-01,0.6218399512665103
Aldersgate,2025-07-01,0.6218399512665103
Aldersgate,2025-08-01,0.6218399512665103
Aldersgate,2025-09-01,0.6218399512665103
Aldersgate,2025-10-01,0.6218399512665103
Aldersgate,2025-11-01,0.6218399512665103
Aldersgate,2025-12-01,0.6218399512665103
Aldersgate,2026-01-01,0.6218399512665103
Aldersgate,2026-02-01,0.6218399512665103
Aldersgate,2026-03-01,0.6218399512665103
Alexandra,2025-04-01,1.9187451954804002
Alexandra,2025-05-01,1.9187451954804002
Alexandra,2025-06-01,1.9187451954804002
Alexandra,2025-07-01,1.9187451954804002
Alexandra,2025-08-01,1.9187451954804002
Alexandra,2025-09-01,1.9187451954804002
Alexandra,2025-10-01,1.9187451954804002
Alexandra,2025-11-01,1.9187451954804002
Alexandra,2025-12-01,1.9187451954804002
Alexandra,2026-01-01,1.9187451954804002
Alexandra,2026-02-01,1.9187451954804002
Alexandra,2026-03-01,1.9187451954804002
Alexandra Park,2025-04-01,3.7817592649755003
Alexandra Park,2025-05-01,2.9852841330305027
Alexandra Park,2025-06-01,2.2680800613688556
Alexandra Park,2025-07-01,3.2365263939229285
Alexandra Park,2025-08-01,3.294195863635008
Alexandra Park,2025-09-01,3.878798593851766
Alexandra Park,2025-10-01,4.556940258816376
Alexandra Park,2025-11-01,4.1896522940863905
Alexandra Park,2025-12-01,4.042531934823038
Alexandra Park,2026-01-01,3.6271696683635475
Alexandra Park,2026-02-01,2.899022192232043
Alexandra Park,2026-03-01,3.9153991354963615
Alibon,2025-04-01,3.6231279111548154
Alibon,2025-05-01,3.737155429439388
Alibon,2025-06-01,3.3640946605218116
Alibon,2025-07-01,3.349866672974765
Alibon,2025-08-01,3.335638685427718
Alibon,2025-09-01,3.3214106978806712
Alibon,2025-10-01,3.3071827103336244
Alibon,2025-11-01,3.2929547227865776
Alibon,2025-12-01,3.278726735239531
Alibon,2026-01-01,3.264498747692484
Alibon,2026-02-01,3.2502707601454373
Alibon,2026-03-01,3.2360427725983905
Alperton,2025-04-01,6.752894933289592
Alperton,2025-05-01,6.752894933289592
Alperton,2025-06-01,6.752894933289592
Alperton,2025-07-01,6.752894933289592
Alperton,2025-08-01,6.752894933289592
Alperton,2025-09-01,6.752894933289592
Alperton,2025-10-01,6.752894933289592
Alperton,2025-11-01,6.752894933289592
Alperton,2025-12-01,6.752894933289592
Alperton,2026-01-01,6.752894933289592
Alperton,2026-02-01,6.752894933289592
Alperton,2026-03-01,6.752894933289592
Alvaston North,2025-04-01,0.0
Alvaston North,2025-05-01,0.0
Alvaston North,2025-06-01,0.0
Alvaston North,2025-07-01,0.0
Alvaston North,2025-08-01,0.0
Alvaston North,2025-09-01,0.0
Alvaston North,2025-10-01,0.0
Alvaston North,2025-11-01,0.0
Alvaston North,2025-12-01,0.0
Alvaston North,2026-01-01,0.0
Alvaston North,2026-02-01,0.0
Alvaston North,2026-03-01,0.0
Ardwick,2025-04-01,0.0
Ardwick,2025-05-01,0.0
Ardwick,2025-06-01,0.0
Ardwick,2025-07-01,0.0
Ardwick,2025-08-01,0.0
Ardwick,2025-09-01,0.0
