Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
00155618dd07936356965cbd72c8bbdfa5fec001419ec9b529b5fd791875e5d2,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.053709,51.528117,On or near Police Station,E01004259,Tower Hamlets 007A,Suspect charged
0067c3fbb5c9cffb1a9010e4243687b78b6489c44e74b79df23bed352be31790,2014-01,Metropolitan Police Service,Metropolitan Police Service,0.009337,51.626944,On or near CONEY BURROWS,E01004389,Waltham Forest 003D,Investigation complete; no suspect identified
00cc37ddd5fec2e94bc97c97f010762e6121356d4189763313418ee0d1696eb9,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.057418,51.519231,On or near MAPLES PLACE,E01004322,Tower Hamlets 017A,Investigation complete; no suspect identified
01090895b342a58fa9746ec08aa50ff7a7d849ceb4abcd38141b7584fdc721e9,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.177454,51.517497,On or near Bus/Coach Station,E01033594,Westminster 015G,Suspect charged
01c6d0ab3b115021d5066e927c9af4bd8fb6f25552b6d646dfda2d5b5caf8eee,2014-01,Metropolitan Police Service,Metropolitan Police Service,0.190283,51.518122,On or near BROADWAY,E01002345,Havering 030B,Investigation complete; no suspect identified
023046e643425a0aed3ea9644a59b6c4ee5b8cd63fc8ff47316c72c8bfda9084,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.017117,51.390005,On or near Sports/Recreation Area,E01000775,Bromley 024C,Investigation complete; no suspect identified
028887c7aefbfadcb899ece5413130abda7fc2d578cde3058611307c66d08efe,2014-01,Metropolitan Police Service,Metropolitan Police Service,0.108498,51.469764,On or near LINTON CLOSE,E01032566,Bexley 029D,Investigation complete; no suspect identified
0290f68e195158d099077d8d670d6aec465585d813eae12ac1b01a13f7e60468,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.473717,51.543739,On or near HIGH STREET,E01002515,Hillingdon 015D,Suspect charged
0291890d7f4022a77e78d20c3a652fc73cd21c48138e098ea111a3b67a5d1860,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.071382,51.573533,On or near TATTON CRESCENT,E01001814,Hackney 001C,Suspect charged
02c1da232601427b20820bcb009ddc84656444268fa266e266a7c49c806d70d5,2014-01,Metropolitan Police Service,Metropolitan Police Service,0.075693,51.335996,On or near SPINNEY WAY,E01000749,Bromley 036A,Offender given a caution
0392a7d85f68ea9e3fcbd80fbc478cbdbc439e69433a36c4527c310f5106e869,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.102832,51.406874,On or near GOULDING GARDENS,E01001147,Croydon 005A,Suspect charged
02f9c6d8c8e03824a9abaddefa6d3a8634b4c3384fe950d32ac829f6c0b082a0,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.381342,51.442651,On or near TOWFIELD ROAD,E01002604,Hounslow 026A,Investigation complete; no suspect identified
030fbcc0d0f4b973802393ad8feebf94227a5c148ab0d654abdb2aba8168034b,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.193634,51.361934,On or near HILL ROAD,E01004142,Sutton 012D,Suspect charged
040d5c8cd56ee7742c58661255136aa74e244aa171bcaeb2c2e7d270d4bf590f,2014-01,Metropolitan Police Service,Metropolitan Police Service,0.034422,51.524886,On or near TUNMARSH LANE,E01003608,Newham 028D,Investigation complete; no suspect identified
0445b32c5cbcf026d024da61bc654e72884bcb0bef63d030f60d31854c62a3e0,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.172356,51.628204,On or near SWEETS WAY,E01000281,Barnet 008D,Offender given a caution
04712b796caefc1b43ab8ee467c89625a4e8cb9f2bef69139edbdb31db093a04,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.123681,51.476030,On or near TEVERSHAM LANE,E01003124,Lambeth 006D,Investigation complete; no suspect identified
0475134dc323d80544e22b3bb33dcb5e445242b4ded976676a93323e7be9341a,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.040194,51.644669,On or near KEATS CLOSE,E01001509,Enfield 014C,Suspect charged
052526226250beef1caafddbe58a1ae70b378b6cd04f192036472adc9a7f7bee,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.407262,51.500008,On or near BULLS BRIDGE ROAD,E01002507,Hillingdon 027F,Suspect charged
0543e7cdbf76fa417efdfeb530a0a39ec2ccaf23fc50998176fd24e7e2b2fc44,2014-01,Metropolitan Police Service,Metropolitan Police Service,0.028346,51.406889,On or near Petrol Station,E01000646,Bromley 016A,Suspect charged
05e2d894fffc431e716765846af5e06315be532d041e0b205a88aa89a97712e9,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.005425,51.557845,On or near TRELAWN ROAD,E01004376,Waltham Forest 025E,Investigation complete; no suspect identified
05e76a749755fcaab620ffd02974656767dbf6ba0ebf317fb7e5eab5e6eb7852,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.198210,51.512378,On or near PEMBRIDGE MEWS,E01002886,Kensington and Chelsea 006E,Investigation complete; no suspect identified
05ea754341d26f5d19b940cd0b26633bc73febafbc7e2ff9d6a6eb2645d96c7f,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.176986,51.380381,On or near TAVISTOCK ROAD,E01004126,Sutton 002C,Suspect charged
063065fbb2e039afc9a16de31237e5b6b9e27d086f24c042a730ee05b921aafc,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.275835,51.564918,On or near Supermarket,E01000482,Brent 009C,Suspect charged
063065fbb2e039afc9a16de31237e5b6b9e27d086f24c042a730ee05b921aafc,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.275835,51.564918,On or near Supermarket,E01000482,Brent 009C,Investigation complete; no suspect identified
064ea5c1dfe167fba946d55b0017bd5a73f768c2535c2ee9e3f124a2e331c011,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.200347,51.574035,On or near BROADWALK LANE,E01000144,Barnet 038C,Suspect charged
0664a9f405d5c4b3bbdd352c15c4b207a2bb1819b70d975c966dd6eb7c8e7637,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.015384,51.570316,On or near CLYDE PLACE,E01033153,Waltham Forest 020G,Investigation complete; no suspect identified
066785db4017b89b6f1ccb568b8bd75fd5f7516aaba4e796a93d13d3ae1b4de5,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.122659,51.517748,On or near BARTER STREET,E01000918,Camden 028C,Investigation complete; no suspect identified
06c086eeaf3b793d8cf87c673251e950d15dab057fc047672170091bce1dd201,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.359413,51.469161,On or near FAIR STREET,E01033083,Hounslow 018F,Suspect charged
06ea51304bbb1bda2e13ec21a68cd54dff4906fe2048501ee4671be95836b044,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.121395,51.516586,On or near NEWTON STREET,E01000918,Camden 028C,Investigation complete; no suspect identified
04cf224ab74c2ed76e0ead5d19f5ab01c603cd241bc052095f2efb98cb756293,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.320241,51.479218,On or near ABBEY MEWS,E01002682,Hounslow 014D,Investigation complete; no suspect identified
04e56bf10152589c1e47b133e222dd1864f182fd896e7b39f002e64f96246413,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.352735,51.507060,On or near CHEVY ROAD,E01001340,Ealing 029G,Investigation complete; no suspect identified
04ec458ef8b30702e4a80242fa4aeed85a54e819692ff860abdbf57443814c1c,2014-01,Metropolitan Police Service,Metropolitan Police Service,0.064951,51.514910,On or near BEAUFORT,E01003486,Newham 033C,Investigation complete; no suspect identified
074e33fd18f89a80d8833aa4713f7fd05cb90d1bde25ec96fd0f98e4da75eba0,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.122792,51.488911,On or near Petrol Station,E01003109,Lambeth 003E,Suspect charged
078e27e631d76911329e2a2b4e85d641f24b7c124f8eeb8cb26db9c1183d78d2,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.120764,51.562366,On or near TOLLINGTON WAY,E01002733,Islington 007C,Suspect charged
07a3017724377bcf9e234b755d96ccd402a750e2177224b0f4818e6cd5fe8501,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.128560,51.467646,On or near SAVOY MEWS,E01003090,Lambeth 012D,Suspect charged
07a3017724377bcf9e234b755d96ccd402a750e2177224b0f4818e6cd5fe8501,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.128560,51.467646,On or near SAVOY MEWS,E01003090,Lambeth 012D,Suspect charged
07a39bc037bd89ee6fd91d8a79cdb81f4a1904ba31ff22e671a70cdeca740e97,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.060909,51.551059,On or near BODNEY ROAD,E01001758,Hackney 016D,Investigation complete; no suspect identified
07bbf572aa84586cdfe2fe01295fd9d4f49a1641dcafa31ec55ddd1795b922b5,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.262370,51.566140,On or near OLD CHURCH LANE,E01000625,Brent 009E,Suspect charged
07ec02190197f4b863f92396478ca8bee959a557baeacdbbf390ce71decfc46d,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.142932,51.556532,On or near INGESTRE ROAD,E01000928,Camden 003E,Offender given a caution
080300db1da1398e80fb3d7a413dc0b44996bc1f845af186edcfaee9ebad5ef6,2014-01,Metropolitan Police Service,Metropolitan Police Service,0.060301,51.554937,On or near ILFORD HILL,E01003576,Newham 002A,Suspect charged
081697201561525c6fb38d016134c85df99e3f1424cd2ffc5d7807192520eb69,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.029659,51.515494,On or near AGNES STREET,E01004251,Tower Hamlets 023A,Investigation complete; no suspect identified
0841da511ccd9581b2842592febc8a80d7b319c2efeb7c2b2c56fd5cd1cd1c8a,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.286487,51.488396,On or near SPRING GROVE,E01002581,Hounslow 008D,Suspect charged
0841da511ccd9581b2842592febc8a80d7b319c2efeb7c2b2c56fd5cd1cd1c8a,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.286487,51.488396,On or near SPRING GROVE,E01002581,Hounslow 008D,Suspect charged
086f7665e8786519c0b2fd6ecdc64f8e1959245c82e043486673c2d3ffcfd591,2014-01,Metropolitan Police Service,Metropolitan Police Service,0.046302,51.514940,On or near WOODHATCH CLOSE,E01003513,Newham 035D,Suspect charged
08a473f8ced2a0a9ec2b3cb63d7f0d48a9ea68abf2c8ff07587bb751472e2e9f,2014-01,Metropolitan Police Service,Metropolitan Police Service,0.183605,51.454136,On or near GREEN WALK,E01000377,Bexley 019D,Suspect charged
08cbf5e7d27d76902bff34d53ad691f8a62dab9afea900a8e14e54897ea3d13d,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.289361,51.618161,On or near CALTHORPE GARDENS,E01002113,Harrow 002A,Offender given a drugs possession warning
08ecb0f781020ea72ea0a33e0995378d37621c1e2340770d392f9515134f3baa,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.128839,51.512191,On or near Shopping Area,E01004734,Westminster 018A,Offender given a caution
0921b3bab73fd54944c3b84c2967cdce8166ad430b94c36d5801511f1c8daf0a,2014-01,Metropolitan Police Service,Metropolitan Police Service,0.063722,51.481667,On or near GILDERSOME STREET,E01001697,Greenwich 011C,Investigation complete; no suspect identified
0945b65ab1b4198f71b0b75545fa7a5a8e0a7bbb0abfef162afbf342fa966a82,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.052732,51.413741,On or near EVELINA ROAD,E01000798,Bromley 009D,Suspect charged
099b86acc8b803ed77df64023d87a73394e7ff24347c3a52b0c5292959987d3a,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.490059,51.471717,On or near WALLIS ROAD,E01002444,Hillingdon 031A,Suspect charged
09ceb7af01cdef49d20ca5df246d5233cdfb337e44e1600bdaed1a5990414ab9,2014-01,Metropolitan Police Service,Metropolitan Police Service,-0.045065,51.490951,On or near BUSH ROAD,E01004036,Southwark 007E,Investigation complete; no suspect identified
