Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
79300244722a2ddcb9e6d0ba94aa15bee0ec7da4f6571c88608745a6e94954d8,2018-12,City of London Police,City of London Police,,,No location,,,Offender given a drugs possession warning
97ed7a0391c793dfecba3a868228ee602f52c15b5336e821f444682bb2ad0de9,2018-12,City of London Police,City of London Police,,,No location,,,Suspect charged
6f4c7eea4232c80716a7783dfeb2e0c4b406d8123a6c29ca82f1e28951db0512,2018-12,City of London Police,City of London Police,-0.087760,51.517149,On or near LONDON WALL,E01032739,City of London 001F,Investigation complete; no suspect identified
d499997c7acb649dce75a4cc025482161a751448db79421e9682e9d2919ebf81,2018-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
abb7c6b6ee05869e059e67fe365c9a914fb6646ee5c6907ea684724f6d72bb08,2018-12,City of London Police,City of London Police,,,No location,,,Action to be taken by another organisation
c64867339516086553cfe8f404de060e980937a314a5012d393b07cf87663b9a,2018-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
043edc13ef78e9ad7b59278c92be1d62aba282f8068678a5b03681f90fefd7d6,2018-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
d01c9eca1720dea29c703cb94f37d81c730758ec560167d5a79966ff74081b2a,2018-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
88ed6464cf58d65d9e8c3ad6b6847c2c97c7d7332b211afd2ea8a3b80ffa4d80,2018-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
4e4a7b419900c92f8bfe7dea8fe9d2e277b0c2fb424658018bde048d4fcdca57,2018-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
7d98a874489caa66baff37216338aeed8bc70401bedb60b0550e6b1d474c36a7,2018-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
7d767b50b2939d30aabdaa38e0504b4c989e42eb0a4ba3ca974006f5c49192e3,2018-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
c71a6f78283bc89af2833fca409676655bff5ba99d09aa400d4ec869516e2caa,2018-12,City of London Police,City of London Police,-0.089596,51.518743,On or near NEW UNION STREET,E01000002,City of London 001B,Investigation complete; no suspect identified
4788d2595694b2f773a339bddba32c3a2278f5536e41a36e8b5d0427b8974234,2018-12,City of London Police,City of London Police,-0.074901,51.506255,On or near A100,E01004293,Tower Hamlets 027B,Investigation complete; no suspect identified
63870cc34c029004755b6bb0872a8b3251269194b0206c958c73181d8e1a666e,2018-12,City of London Police,City of London Police,-0.096511,51.511922,On or near QUEEN VICTORIA STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
cd3c08538986f802818e6b8e4be563a0de67c65cea82d6d906242b038c5495a1,2018-12,City of London Police,City of London Police,,,No location,,,Unable to prosecute suspect
81b7f20d0262715f47c7c01e2978a47ea5dd0436123e5a8c490ac0981f9a1886,2018-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
4694547ba102c85d98a34e19a994a8c707ada2b6dc0d9fcd6d66912eb92e38d6,2018-12,City of London Police,City of London Police,-0.082628,51.518189,On or near SUN STREET PASSAGE,E01032739,City of London 001F,Investigation complete; no suspect identified
aa40d44b542069ef872db682aecba7f09117cbce94da7aa59d2bc9e4700a6274,2018-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
1b2ecdac9134fac7cfa5342a00547f80c8438fc0658a1d9e48e90042e2deb63e,2018-12,City of London Police,City of London Police,-0.102930,51.518375,On or near WEST SMITHFIELD,E01032740,City of London 001G,Investigation complete; no suspect identified
a83bac1a95d12d1a838b5e4042034c5f37a0773c2ba75cbad77a8fc53ff3bf86,2018-12,City of London Police,City of London Police,-0.079875,51.510995,On or near HART STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
9469614206259d9ce564bb037c5b0bf1c0672e426c8944780816140f1477f943,2018-12,City of London Police,City of London Police,-0.083645,51.512504,On or near LIME STREET PASSAGE,E01032739,City of London 001F,Investigation complete; no suspect identified
b21628e27dd01cd969984474b4a57c68588a98f3263f2e509004a232b2915eed,2018-12,City of London Police,City of London Police,-0.080782,51.514804,On or near ST MARY AXE,E01032739,City of London 001F,Investigation complete; no suspect identified
250bdcf7a004fae63441507595647f6bb1158799d50c7fac80e1a75cbff40518,2018-12,City of London Police,City of London Police,-0.104909,51.517912,On or near Parking Area,E01032740,City of London 001G,Investigation complete; no suspect identified
a565dadd4808552d57f0c34325199f02d13369a59f2ae1a2a836e339510350f2,2018-12,City of London Police,City of London Police,-0.096561,51.514513,On or near CHEAPSIDE,E01032739,City of London 001F,Investigation complete; no suspect identified
d71d7b328667aa6ebf3b966d8bf139f8f0a0d42bcd7dcf77a3d12bd600a8b179,2018-12,City of London Police,City of London Police,-0.089004,51.504642,On or near Hospital,E01003939,Southwark 002E,Investigation complete; no suspect identified
5eab53b54e82af7182bd6dc3b705f4d93f589edbef4324b668ea12eac5d8c037,2018-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
86faa7bc15ec4f286fd97b0c3e4ab697552286bc9a1007e3e5115ca0f8e8f33d,2018-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
1853a1774d0f83f20c059b7f6cdacbe7373a4d8328b42b6e71725bc57eef1422,2018-12,City of London Police,City of London Police,-0.086175,51.510945,On or near GRACECHURCH STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
3ef1ccdbf0990d0f4645630dbe4a10429d77fa5d4fdd6e98d71a9bb3ed3f5f42,2018-12,City of London Police,City of London Police,-0.093493,51.513447,On or near BOW LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
05bce85f817378144a69865eba999463c3e139ee4bc64d7b3a6a6d882148d129,2018-12,City of London Police,City of London Police,-0.078856,51.518433,On or near ARTILLERY LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
e3b2c39783d7969c0a4430ecdff30e0896153fc6b42bee2a91b12fcd6ab25f2f,2018-12,City of London Police,City of London Police,-0.092077,51.512147,On or near TOWER ROYAL,E01032739,City of London 001F,Unable to prosecute suspect
a10df2a719f7730a1418e1e8a6b59431092b4bb9d4ee9bd0a3d7ccb5802138fc,2018-12,City of London Police,City of London Police,-0.078856,51.518433,On or near ARTILLERY LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
2a1bd8e2d5eb87bc439395037dd2fd4963eaf857a71b1f9bc382a09bef4e13b2,2018-12,City of London Police,City of London Police,-0.108283,51.517526,On or near Supermarket,E01032740,City of London 001G,Investigation complete; no suspect identified
640761ab0382c3647e2238572b066464a46545b09fe9fdc4afd4b0157a628624,2018-12,City of London Police,City of London Police,-0.082913,51.513463,On or near LEADENHALL STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
e0708742dd140f9f9193d81254b801455d4a46f0831e2a5dd6e260c06c921f8e,2018-12,City of London Police,City of London Police,-0.085833,51.513952,On or near FINCH LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
ad44b1f34c6f2b277e818a336103570bbc0f1bf85047c3bc98f91f11e8467350,2018-12,City of London Police,City of London Police,-0.082628,51.518189,On or near SUN STREET PASSAGE,E01032739,City of London 001F,Investigation complete; no suspect identified
6ad89b04bdb6b5b7aaa0a86b2e7254b7154f81819450302dad885f58f5724b2f,2018-12,City of London Police,City of London Police,-0.085257,51.511200,On or near TALBOT COURT,E01032739,City of London 001F,Unable to prosecute suspect
3b3f3939594f151a8987300786c134e835d32a69b3256ed30b793b3ac9f4f38f,2018-12,City of London Police,City of London Police,-0.091720,51.513454,On or near Supermarket,E01032739,City of London 001F,Investigation complete; no suspect identified
b335d4f7662702e081fec947981527fb08c53b435c848a5fb143c4618b8e88b9,2018-12,City of London Police,City of London Police,-0.089451,51.517032,On or near Bus/Coach Station,E01032739,City of London 001F,Investigation complete; no suspect identified
63a128d5d4fd6a41f17abc666834b4cee55727625118eaf765f031acb263eeb2,2018-12,City of London Police,City of London Police,-0.074901,51.506255,On or near A100,E01004293,Tower Hamlets 027B,Investigation complete; no suspect identified
1314f7de4cd308b60969c74818c94e93b9e029f890be52a69e697eda51300765,2018-12,City of London Police,City of London Police,-0.078856,51.518433,On or near ARTILLERY LANE,E01032739,City of London 001F,Unable to prosecute suspect
e632c723e8ca4ee6010281708ea3d1b8a51c2600aedce501aaf53dcdd1cc1dce,2018-12,City of London Police,City of London Police,-0.088901,51.505396,On or near Supermarket,E01003981,Southwark 006F,Investigation complete; no suspect identified
f1498fb293f5fa19bb1ebf6521544bb156113b9f593bca0ce1cd912730e109c3,2018-12,City of London Police,City of London Police,-0.086626,51.510844,On or near KING WILLIAM STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
92e8001149fa7af49263c68f044f6d5041648df424ff871fb670fc54e1086a9c,2018-12,City of London Police,City of London Police,-0.086175,51.510945,On or near GRACECHURCH STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
0150792af0bb18fc99032d3fdb4b79b71e6ef914d252f86c9e2457413531b3f0,2018-12,City of London Police,City of London Police,-0.109826,51.516814,On or near NORWICH STREET,E01032740,City of London 001G,Investigation complete; no suspect identified
765d5fe1041fa143567ea81824789fddaecfaa212d5fa556097748d91db24311,2018-12,City of London Police,City of London Police,-0.086626,51.510844,On or near KING WILLIAM STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
26f524bec14361dd1bbf5c74066f40a1bd3e4f2b6d8a6b6ac0b115da3c35841c,2018-12,City of London Police,City of London Police,-0.081549,51.511625,On or near MINCING LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
4140362bd51eb71a48cbaf0a04a03b5f1cd7d408cac055b5b6d94c36f980dcfe,2018-12,City of London Police,City of London Police,-0.080376,51.517244,On or near Supermarket,E01032739,City of London 001F,Formal action is not in the public interest
d4b0db7575d0c7f42732aae0b72afbd7d3134fd25c28eaf1d1eaa934c8e97ecf,2018-12,City of London Police,City of London Police,-0.105134,51.513869,On or near BRIDE LANE,E01032740,City of London 001G,Further investigation is not in the public interest
20921123b78a3cebc0357e6e8ed62158f610009076fc84fa1723ec183f710156,2018-12,City of London Police,City of London Police,-0.092719,51.512652,On or near QUEEN VICTORIA STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
dd535290d30d1c9f88507223f323d985be21ccab67d687bfe13e47a5b0b241f5,2018-12,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Investigation complete; no suspect identified
31edd4cfa1f0ef202ff61c6e4ac66f3ff7d5e9131de0989346edaac5ca529b07,2018-12,City of London Police,City of London Police,-0.089838,51.516067,On or near COLEMAN STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
34bf08fd09e6f897d974b62686892958d5bfdbbd522f94881ddd4d9b52897776,2018-12,City of London Police,City of London Police,-0.102741,51.513885,On or near PAGEANTMASTER COURT,E01032740,City of London 001G,Unable to prosecute suspect
4eac8645408ce73ee240ba8676f2865e63c52a9ba85acc6f86876ae8d48be987,2018-12,City of London Police,City of London Police,-0.097053,51.518262,On or near ALDERSGATE STREET,E01000001,City of London 001A,Investigation complete; no suspect identified
857b1ccdd27cb23c3a8ae481491cf26825c88190bbad5f665e507f5b83e6e56a,2018-12,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Investigation complete; no suspect identified
e26ccad086ee5984b51cb30db17986d2b5ee4715ce08cb085fe45b0af42cbe6d,2018-12,City of London Police,City of London Police,-0.091151,51.514992,On or near GRESHAM STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
f37cf63839b4d8c683e22421446c99544d5f5f0b1d826c712a467396d2f45b65,2018-12,City of London Police,City of London Police,-0.074901,51.506255,On or near A100,E01004293,Tower Hamlets 027B,Investigation complete; no suspect identified
45e14e6af0309cddc989c5d190c219c043bae26286e898e23a5f54cce528b0c8,2018-12,City of London Police,City of London Police,-0.074901,51.506255,On or near A100,E01004293,Tower Hamlets 027B,Investigation complete; no suspect identified
826d105582dfd65a1af9f1b9eec0d3a3653f0789670551de3a3b39cab0f964ac,2018-12,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Investigation complete; no suspect identified
7682ec71be778c7d9d4cfd359867bf3db636468fc9f8ea17bf848515ba118ab0,2018-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
129d951991c7638ea4ae3c398950ced6187c5fe958f32bd9cafe5483280cfb7c,2018-12,City of London Police,City of London Police,-0.107443,51.515552,On or near PRINTER STREET,E01032740,City of London 001G,Investigation complete; no suspect identified
7d69ea2f8315ccdf646ca5bc4580dbf6e4599156e105f0f015ed327c2511ced6,2018-12,City of London Police,City of London Police,-0.099848,51.519350,On or near LONG LANE,E01032740,City of London 001G,Investigation complete; no suspect identified
996833f4b7796b901a2325a46685803db477b29bd8739f842cb2c9962ee940f1,2018-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
d7c71a5df87430612fb43203d5001ba39ae47f41cc879765574e6f66ce4d8c20,2018-12,City of London Police,City of London Police,-0.081549,51.511625,On or near MINCING LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
0acff169f2d0b69116b478dad3d43a10d0704676e282793784e8347a4e252b41,2018-12,City of London Police,City of London Police,-0.098777,51.512526,On or near KNIGHTRIDER STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
4fe5cd2d1ae56efa90f96e857320bcdc0007584b6b50e43b481d1d6877dcaf90,2018-12,City of London Police,City of London Police,-0.074901,51.506255,On or near A100,E01004293,Tower Hamlets 027B,Investigation complete; no suspect identified
23959cdf2c954497ecfed873dae78d4133621abd33ab5be53163101a572cf48f,2018-12,City of London Police,City of London Police,-0.085310,51.518511,On or near ELDON STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
0ab8b3a1b274c0130523de6e40619b35a4fc1b1b249f6a19b4db0ce830835263,2018-12,City of London Police,City of London Police,-0.081620,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Investigation complete; no suspect identified
a823e0f53d22f16a49f09f53a38f79b1dd5155b481258d4af395bd32ea0c5095,2018-12,City of London Police,City of London Police,-0.079130,51.507808,On or near Ferry Terminal,E01004293,Tower Hamlets 027B,Investigation complete; no suspect identified
882f892c75187a2bc997e38695f4b3d3764358a16327c90b26ab14ecc9c526a9,2018-12,City of London Police,City of London Police,-0.104134,51.514699,On or near OLD SEACOAL LANE,E01032740,City of London 001G,Investigation complete; no suspect identified
22564d34ea61fd0602ff68f0ca54285ea60d719175b44dfd136e275521d23efb,2018-12,City of London Police,City of London Police,-0.086626,51.510844,On or near KING WILLIAM STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
af9e82f042beec127f98cb544092584d696b0bb9a2e217ef81839cbc3a55d70e,2018-12,City of London Police,City of London Police,-0.079780,51.512243,On or near FENCHURCH STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
0c8a183fe079bf57db0804338f0b13497b638072f0a71e0e7b24e02131664835,2018-12,City of London Police,City of London Police,-0.092297,51.518949,On or near Park/Open Space,E01000002,City of London 001B,Investigation complete; no suspect identified
68d112234aa54cecd9e32bda05be972028c3911e7b4795280aa92da0603881d1,2018-12,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Investigation complete; no suspect identified
c6a6a441375d8eb52ed0dd45a7daaf3150b9acf0969531165cfc7e8287405986,2018-12,City of London Police,City of London Police,-0.093057,51.520085,On or near Theatre/Concert Hall,E01000002,City of London 001B,Investigation complete; no suspect identified
17a25d47aa212352a5121259eb4661085012a2fd3af8d37c66724d6fe9e41f02,2018-12,City of London Police,City of London Police,-0.082571,51.514753,On or near GREAT ST HELEN'S,E01032739,City of London 001F,Investigation complete; no suspect identified
c779b7b2f4515e65d31ea7608ca2c9a4545311cf2acdb6e429e0c61e2b34278f,2018-12,City of London Police,City of London Police,-0.106922,51.514204,On or near FLEET STREET,E01032740,City of London 001G,Further investigation is not in the public interest
36fa2d7ee3f6a66a880f2c9214561a39c4fbb4a52d13368f2f2af66d4c74594f,2018-12,City of London Police,City of London Police,-0.083296,51.517058,On or near OLD BROAD STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
91bc185ba50a45ec02fb1659130773e1925e356774341dc8eca110282a07818a,2018-12,City of London Police,City of London Police,-0.081620,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Unable to prosecute suspect
93603b9e6165f7bd9c13b0cbd207c6272f5b19f217f96ff753e8edc022cf169d,2018-12,City of London Police,City of London Police,-0.083993,51.511440,On or near PHILPOT LANE,E01032739,City of London 001F,Unable to prosecute suspect
52ed9fa39d18abe94690f3fe9f885760fb1da7f57e5bcd51379525a32113cb4c,2018-12,City of London Police,City of London Police,-0.079130,51.507808,On or near Ferry Terminal,E01004293,Tower Hamlets 027B,Investigation complete; no suspect identified
b8c4cb679878f5d7ceb9dc4b97889137de5caf6f1483a2df63b1933e117804e7,2018-12,City of London Police,City of London Police,-0.098572,51.516767,On or near KING EDWARD STREET,E01000001,City of London 001A,Investigation complete; no suspect identified
4ef9c97e610786b9ee27f66312e19fc3ffb3ef49dcf4cae2c47f37eda555188c,2018-12,City of London Police,City of London Police,-0.093398,51.512951,On or near WATLING STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
ba0be370bd9e3d08c02d05eebc8f23ff7597991c4db7de59d7135eded52e6f29,2018-12,City of London Police,City of London Police,-0.086272,51.513114,On or near BIRCHIN LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
d6e7ac858227cc64c15b1dce819979ef8fceffc86757aef384a6bf48c8d6363d,2018-12,City of London Police,City of London Police,-0.090506,51.513524,On or near POULTRY,E01032739,City of London 001F,Investigation complete; no suspect identified
