Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f16e96673bb9fc5c74e9e7c86249e91133e3ca78aea0218cc08297994f6ab6a1,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Local resolution
ef34ed413efd08a0a98e5726e7484144e199bd392ff9821623d3585610eb1b37,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
a332639666e8f6b68a02449fd0ce63cb3b0fe60d42b3bcfef176f894f88eb313,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
8969366643bfe3d5a8b81276e44dbd03b8103b048bb08de9642d619434300b83,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
00e0421445e21f68819d71d3c6312c304dc239579a3d019c21d2456f5867913c,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
9b401a85ba6822f963cd7dbf5ce4874f0abe879bf9bedbb070a040feae046779,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
f71578507a74e271f086fa819896dbc2af27fbf68bbe6aca6de6451856350a05,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
5a54ab2014dd22d0dde65e46fbe0ac546489ae0a34f76f8aef209342c0f6485b,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
fbecab80b02a76ae03e2fed26ef41c05e6497ce4a6c8876b1c833ed459548bea,2022-07,Metropolitan Police Service,Metropolitan Police Service,-0.128823,51.480861,On or near ,E01033207,Lambeth 004F,Investigation complete; no suspect identified
bdeb839f30e072b093fe0bfdcc462dff303947473d942c57cccf35f5d05b13ca,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
5e669a1d40bd23cd5690173ada0a562dbd32c6088ba89c4976c44b22894a62b9,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
fcbe080bdce093f5b9d296e6318b904c10386affd4d169459a45cb7851dbd2c7,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
3547bf3b419f7c20a55e9f7b53ac8a34cb938112cc6ed446d0218e68801bec50,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
a92f95193fda6c582bfde85e96976c891b52c87b69dda3475a87190caee41fe6,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
8bfa28819392d97cb239d0ccf62f6a7e104fd598d15103bb935ba71fa35b38c9,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
b234940f61ab9d292ec1f718661d388199e68b35595e20121652ece3518b16c6,2022-07,Metropolitan Police Service,Metropolitan Police Service,0.206026,51.575732,On or near BRENTWOOD ROAD,E01002272,Havering 014A,Investigation complete; no suspect identified
71aee5c5c45bf44c9a734924532cb895d0ac21c8b7eb08864cc22b76eb061c7d,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
d9d88d7830883ffd56c7264e45e917e28d058f3b73b965f0f36c68d7b99ef436,2022-07,Metropolitan Police Service,Metropolitan Police Service,-0.230545,51.503185,On or near SCOTT'S ROAD,E01001940,Hammersmith and Fulham 005B,Investigation complete; no suspect identified
39cb5f7e67a1f528ce17cf0971a98cbf6625bde4a7964c0861bda11687fbdab8,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
e22a5f8d099da891c2878d613b3740c400e20cfac9c8123b4cef836053a136ab,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
e22a5f8d099da891c2878d613b3740c400e20cfac9c8123b4cef836053a136ab,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
6834ce3bdb6ef186652a5710eca3a8a6a0ba95aa7e144abd698285760b1ec01b,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
6845c2dd72fd0813d867b2f066c3e3e4adaa0b1567fded56cae6146d731518f2,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
cbaa5f293190eaeaf0a3499abffd5c04b0497e709befd67b20bea6a8c5ea7b3a,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
2f4342976342f885eb917eabb01cee3323619cb49493eac54da5fc8bd8096cf6,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
9fae5418c19f6e81901956d5d4b18694fdda7cbb0298c6779c6aea970324c393,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
62b48995e85a7acf0271a2932a28b9a4e38e3b6ab6a692f8ae84f63dcd990465,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
9e17ba64495c5f41ad59b938e9eafc346ae6f83aa157a93e07c5ba1f8d4ce711,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
9b669ed8f38414927e0da963ecc8683c88d920ab6f013924a2cfbcc6d6871f6b,2022-07,Metropolitan Police Service,Metropolitan Police Service,-0.134926,51.531127,On or near Eversholt Street,E01000955,Camden 022D,Investigation complete; no suspect identified
d38ae5f4e185e18a0ded5ef86087abef22fe17d874d9a58e069300b6f3d82db6,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
0139c7ade26ffa37f2ba96f617a4c9960027f0df93dc2b2f3f4f27f0a7ed6a38,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
af9f3bc0c4cd429c5884215b70aa993f575eb81fa87eb74350bbd84bc0746986,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
e38f1c413ca4e18bbd7a622a2e7baa5753675872402ba848228cd5fdb348264e,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
6eba8d85bb6c600e5762a4cbeab1966f28f295300edb8ccb3ad7c903cdf6c98b,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
61e78e5e877fd24ee78a9559d5cba09245ab4d87bff29c6c6ff6ac4910cc1080,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
fb7ac3d382659075f2e22f71ee8c2445dfd4dad9f06e6e75e06d73cce13a6b5c,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
a1c7696fa70f15170e583ae485c7e0e559a5d29088795415b631cd649d94d93e,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
2241a712cb884aa4303dca0223fd493b88ed13f0eb2278e160977ad0d35baeb0,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
f75fb9a469d1a6c92b25fdfa1086a89eefd04f7cb0535b103abbb40495ecadf7,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
d65648d2b157fd7d922d7f346c6231327040469c7272ecc9608898fbccbfe648,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
60f1b584b166e57eba2202fb3151bd72b9ac2559d7db26505be9f9d9de170bc2,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
d92796480a199eafe86c662d5820bff5139c842aea4ff391833786d9462c557f,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
1a426443741cefe04b225a0d0b6e999b054e5cc08ca2029158fead55aec7451d,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
0617dde368b4315f7bc136111f0c236ce12242654c629bba313c2d15e78ca319,2022-07,Metropolitan Police Service,Metropolitan Police Service,-0.076667,51.509485,On or near A3211,E01004293,Tower Hamlets 027B,Investigation complete; no suspect identified
e41d8bec872f6dc858686a54e8ec6208e2fc9991868dd0ff0727b6d368bc0963,2022-07,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
