Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a1364f9ba59f23f7b12b246653f912c82540778380c2fe9a68bace4f602f0a01,2023-12,City of London Police,City of London Police,,,No location,,,Suspect charged
5b0e2ed435dd734a78953b7d80fbae36546584f59dd51aa7aeeae1893aa5b075,2023-12,City of London Police,City of London Police,,,No location,,,Suspect charged
e84866949a158ec7c0aeb333f0990c1f4ef8f6bddf0eefb04770526332c399f2,2023-12,City of London Police,City of London Police,-0.100201,51.513286,On or near Dean's Court,E01032739,City of London 001F,Suspect charged
077c0be54bb0e124b05cf91ec2a81d68666558d18c4a87f5ec935f562e9dac78,2023-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
7ce3ec64b0d3264fa1fa7524e70cb80c26c617588acab01ddfefc8bb67eef90c,2023-12,City of London Police,City of London Police,,,No location,,,Unable to prosecute suspect
865fa35dd4ddfa2edf874ccc0fe2e8023f571153aedd15116850a4e41a70e028,2023-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
4441d6a459cd53b9e2a65cf6f8dcaa5847035d22b181ab70d9b371ed8dc5e58f,2023-12,City of London Police,City of London Police,,,No location,,,Unable to prosecute suspect
b916ba4a9390e8525b67826ceb39612c4166eeb00845ba63e6dcd6321a84a61c,2023-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
07c6ebe27241b22651e58735652ad224985671e8c358ab935d3f5b54e38cf286,2023-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
65d906b810b62194a7d607a1521bfa4bfdcd2bb42f2ff2b8a0933d5acfb73a67,2023-12,City of London Police,City of London Police,,,No location,,,Action to be taken by another organisation
4aff213c2c86c629a51f73c92740d92ccbba9dd300641daf187d5db90791d07d,2023-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
e27e8dce777ac1c0d19b2088fdf2e02cd06bfefcecb842df8d28faddc39d745b,2023-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
db43bac84a3aee9e16a46a475a95b32f74da8a907e99217a7c2a3197898fc992,2023-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
43f116e839513b2426fd7852ccb3a9e81baa9cb9834c327d358e290fa27cfc4b,2023-12,City of London Police,City of London Police,,,No location,,,Unable to prosecute suspect
b6b880baec63ec45a8efd50daeb5b1a655784cc45efb248313c4f53ecf199e7a,2023-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
0ed3dea0e2e6f8ceb97ee1eaf360092e863d6dce054ab5c38e8ba1aee1c6a547,2023-12,City of London Police,City of London Police,-0.075080,51.512625,On or near St Clare Street,E01000005,City of London 001E,Suspect charged
465eb192cdb414d1ea74d316fa272f738f851da02aa3299b62c6423fb55904af,2023-12,City of London Police,City of London Police,-0.095054,51.510559,On or near Queenhithe,E01032739,City of London 001F,Suspect charged
6b0a3e8df5cdaa2c1615ce277cf41f005976185ba99f3dbf216e5871b19bda47,2023-12,City of London Police,City of London Police,-0.074330,51.513647,On or near Little Somerset Street,E01000005,City of London 001E,Suspect charged
a1364f9ba59f23f7b12b246653f912c82540778380c2fe9a68bace4f602f0a01,2023-12,City of London Police,City of London Police,,,No location,,,Suspect charged
437f864966ac7e2f669671a339aca006a82b20920561234fb46a83eb12c8c225,2023-12,City of London Police,City of London Police,-0.108450,51.514202,On or near Fleet Street,E01032740,City of London 001G,Suspect charged
437f864966ac7e2f669671a339aca006a82b20920561234fb46a83eb12c8c225,2023-12,City of London Police,City of London Police,-0.108450,51.514202,On or near Fleet Street,E01032740,City of London 001G,Suspect charged
5077e2953928a5235430d062235306e5738765e162bd7ce3f16729f336e3f5e6,2023-12,City of London Police,City of London Police,-0.105131,51.513941,On or near Bride Lane,E01032740,City of London 001G,Suspect charged
5077e2953928a5235430d062235306e5738765e162bd7ce3f16729f336e3f5e6,2023-12,City of London Police,City of London Police,-0.105131,51.513941,On or near Bride Lane,E01032740,City of London 001G,Suspect charged
dd4b543c34734df88d4a7dbfdbab4584565bb7190de25d3fc46c6078b8b50ba3,2023-12,City of London Police,City of London Police,-0.085089,51.512105,On or near Gracechurch Street,E01032739,City of London 001F,Suspect charged
380ce513ac9ca318e2c436bcd6ec4acbe22f703597fe706fc0e1c5293b484b5a,2023-12,City of London Police,City of London Police,,,No location,,,Offender given a caution
380ce513ac9ca318e2c436bcd6ec4acbe22f703597fe706fc0e1c5293b484b5a,2023-12,City of London Police,City of London Police,,,No location,,,Offender given a caution
ef24c0f57053955a499ae14285ea6c11ff02d902e6a526e34e1565fe5c571b66,2023-12,City of London Police,City of London Police,-0.081902,51.517296,On or near Liverpool Street,E01032739,City of London 001F,Suspect charged
a126b510555a54c7f40aaed319acda1629a823ea74886afa4fd0a2b4890bdf07,2023-12,City of London Police,City of London Police,-0.095224,51.513736,On or near Shopping Area,E01032739,City of London 001F,Suspect charged
557baf3a3c9d94e006f2f4a0dbcf10f8000791d80584a10b571488df076c24ab,2023-12,City of London Police,City of London Police,-0.095224,51.513736,On or near Shopping Area,E01032739,City of London 001F,Suspect charged
86834d0d0b0e9542f112de38ce1aa5e243a06b5cf08e4b6cd6f4bfd8dd1e34f7,2023-12,City of London Police,City of London Police,-0.101963,51.510761,On or near Ferry Terminal,E01032739,City of London 001F,Suspect charged
42921eaac4ca434b39d7aeb579bb3e5dac2d18d027c8aaae3a7167244f813e34,2023-12,City of London Police,City of London Police,-0.083349,51.514830,On or near Shopping Area,E01032739,City of London 001F,Suspect charged
6b3b6158d499537554a91663399959c91e7bb839d80949a79a355f95b541fdf2,2023-12,City of London Police,City of London Police,-0.102726,51.513911,On or near Pageantmaster Court,E01032740,City of London 001G,Suspect charged
6b3b6158d499537554a91663399959c91e7bb839d80949a79a355f95b541fdf2,2023-12,City of London Police,City of London Police,-0.102726,51.513911,On or near Pageantmaster Court,E01032740,City of London 001G,Suspect charged
