Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3832c4581f0bc0e5ae3fabcf312d3da8054c556f3a48378b2147ab7443df7fca,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.069911,51.521029,On or near Spital Street,E01004306,Tower Hamlets 015A,Investigation complete; no suspect identified
56fc52e182999eb702505bd47288c7ae083f15181d8ef90b8aa282fa68711035,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.370360,51.448793,On or near Berwick Close,E01003842,Richmond upon Thames 013C,Unable to prosecute suspect
037513dfbeb63c6ac4d99560cda3493e0ce059846a2e00f917f5120bc97bfbae,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.215019,51.572308,On or near Prayle Grove,E01000222,Barnet 040C,Investigation complete; no suspect identified
037513dfbeb63c6ac4d99560cda3493e0ce059846a2e00f917f5120bc97bfbae,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.215019,51.572308,On or near Prayle Grove,E01000222,Barnet 040C,Investigation complete; no suspect identified
037513dfbeb63c6ac4d99560cda3493e0ce059846a2e00f917f5120bc97bfbae,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.215019,51.572308,On or near Prayle Grove,E01000222,Barnet 040C,Investigation complete; no suspect identified
8af20452015c8aa3f0113705100d293a60690b7f1e383ce1e8f576505306e53b,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.000099,51.542107,On or near Service Route No 3,E01034200,Newham 012F,Investigation complete; no suspect identified
5ce7fc0dff35be5200e3b4cd2afc3227da49429d17397e13d9a787d0309a0b98,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.161175,51.435663,On or near Noyna Road,E01004549,Wandsworth 027D,Investigation complete; no suspect identified
21efdaeed37aa897555cc2a6290a543b6d5b7544c23209a467b93a463e3bc4f1,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.001317,51.663626,On or near Hamlet Gate,E01021806,Epping Forest 009A,Investigation complete; no suspect identified
fc6ab6f3c29debc0c323ee401654eb906157297db51e79db4c0a4fd03f0802f2,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.098482,51.398027,On or near Cotford Road,E01001155,Croydon 010E,Investigation complete; no suspect identified
f9a2c9253fd61f116d6bfd8f7c4740e04ef9dfc1bf8466fa8097e378cf6769dd,2024-02,Metropolitan Police Service,Metropolitan Police Service,0.009819,51.533197,On or near Chaplin Road,E01003632,Newham 020B,Unable to prosecute suspect
804eeb8defa2e15401730389a32f88496093a9f283f0b57dbe8be6b02dd16db4,2024-02,Metropolitan Police Service,Metropolitan Police Service,0.053854,51.488648,On or near Rideout Street,E01001710,Greenwich 005D,Unable to prosecute suspect
8e9a0b557e5f0bae673d72827d407f9f8531e3520b7b2031cd2867132985cbc2,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.097358,51.497809,On or near Avonmouth Street,E01003937,Southwark 009B,Unable to prosecute suspect
e426b50a1d217f6f4413abde1fc282b36454b298a6149c04e6437f9d6d9e540d,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.142994,51.498315,On or near Warwick Row,E01004731,Westminster 020A,Investigation complete; no suspect identified
8f77d7cdbabe2321b8f8322e84b40049ff6670c7744cf6a771a0ad501c48b64a,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.183500,51.644743,On or near Dinsdale Gardens,E01000269,Barnet 005C,Investigation complete; no suspect identified
749444170dca7a986ece0c5b454085660d7b400a1875c05dfc0bc83e43bdeb0a,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.191439,51.360776,On or near Bank Mews,E01034156,Sutton 012G,Investigation complete; no suspect identified
e0294a398dce7b317ad6ce4e51edb0535980efe2811f275b9c6aa4c6696b3bcd,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.170472,51.471608,On or near Home Road,E01004580,Wandsworth 004C,Unable to prosecute suspect
467e366370e6dd08d66ac2f1b1d9d4039340b5cb4423c13b496a5c0221e8bf37,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.085362,51.537549,On or near Canal Walk,E01035643,Hackney 025H,Investigation complete; no suspect identified
c4200d3815d3e116dbd3ed5718d5b92175ab043919d85c7998979669d243ba0d,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.176516,51.428340,On or near Fountain Road,E01004617,Wandsworth 034D,Local resolution
39a0637b6661606158e8a8fc793576e11e9954410faf4f82cd507a88803e9fdf,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.158211,51.472864,On or near Orkney Street,E01004539,Wandsworth 003A,Unable to prosecute suspect
558410878cb92b42d7f78ebf6ff6f17bb6c81a4cfb38f6d96dd73b67b3a2fc2b,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.103025,51.493170,On or near Churchyard Row,E01003933,Southwark 034C,Unable to prosecute suspect
cf5cb492a9f6103ee2fc6a62e104f5a4bc1af07552b5b918c8ca3154e4df865e,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.171764,51.430622,On or near Khama Road,E01004610,Wandsworth 033C,Unable to prosecute suspect
1b782230258e4bf880abeca99230debde259d635d3cb387a93b24fba29d2d2f0,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.462931,51.505175,On or near PARK LODGE AVENUE,E01034614,Hillingdon 028F,Unable to prosecute suspect
d1de2f4f5508dddc7540b1e66074e895d0cff1f6ba020e564d8aa6a267004dc7,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.087762,51.484748,On or near Hopwood Road,E01033881,Southwark 016F,Unable to prosecute suspect
d1de2f4f5508dddc7540b1e66074e895d0cff1f6ba020e564d8aa6a267004dc7,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.087762,51.484748,On or near Hopwood Road,E01033881,Southwark 016F,Unable to prosecute suspect
5fad129e160a1fa65aadb96c7fc65ba3a2aaa4adcdc79c7d943214dce3612068,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.039497,51.442081,On or near Stanstead Road,E01003316,Lewisham 024E,Investigation complete; no suspect identified
cc65e92d2d47c3505bfdfdafc4f8abf227ab1332696401182c3c7ab32b2c38c2,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.130169,51.513498,On or near Moor Street,E01004763,Westminster 013B,Investigation complete; no suspect identified
ce34784709dbcd0049547fca64b540a426d28a436bd333a7f70583dc293310a6,2024-02,Metropolitan Police Service,Metropolitan Police Service,0.253070,51.556216,On or near Supermarket,E01002387,Havering 024B,Investigation complete; no suspect identified
bcdb504446eeb7b032d11bd3d96b86d07cf17a61f58a3878772737b7f667e0e5,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.119727,51.531190,On or near Theatre/Concert Hall,E01002711,Islington 021B,Investigation complete; no suspect identified
3a94ece02172b5869ca2e56c5dbaf9936dfc2d040d6975d5d586a1cca57fca3b,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.296186,51.406293,On or near Winery Lane,E01002964,Kingston upon Thames 005A,Unable to prosecute suspect
2b2993e62efe702e86cb8184e92552db27a35d5316a99ead8ad7d41ab8b3a37b,2024-02,Metropolitan Police Service,Metropolitan Police Service,0.042633,51.452891,On or near Vandyke Cross,E01001620,Greenwich 025A,Unable to prosecute suspect
4e2acf03dd9d0ecde9084fb69be04e948cbeffdf609eb41770833fc174d4b31c,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.129305,51.356059,On or near Douglas Close,E01004088,Sutton 019C,Unable to prosecute suspect
4e2acf03dd9d0ecde9084fb69be04e948cbeffdf609eb41770833fc174d4b31c,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.129305,51.356059,On or near Douglas Close,E01004088,Sutton 019C,Unable to prosecute suspect
49d092f44ce73759fdac7e28c00de6e20f0cf61931b1cad994af508516b4974a,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.145735,51.514195,On or near Dering Street,E01035716,Westminster 013G,Investigation complete; no suspect identified
2a7b3c2d545bc3dd186a319a09021cba786a315906789991a657ad145e8c78db,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.380994,51.560478,On or near Petrol Station,E01002496,Hillingdon 033A,Investigation complete; no suspect identified
784b62e9060f019f37c646563e9bad3178b6728c3dd3cfa68406b07b48576fa6,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.091679,51.503391,On or near Borough High Street,E01003929,Southwark 002B,Investigation complete; no suspect identified
9311e47cda5627a71a2361d115f900d79f0d57150e62c3dd1bad7fa5da3660c0,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.273135,51.492579,On or near Chiswick High Road,E01002692,Hounslow 029C,Unable to prosecute suspect
fca162056ece92fc5b226f4e5c6ecde2c948249b3900790410551021439f40a3,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.146006,51.647961,On or near Gloucester Gardens,E01001418,Enfield 011C,Investigation complete; no suspect identified
8028cb8a3b16701f9d48babd16f8d4463231a9771f705fc49eb9ef42d7cca891,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.431176,51.524393,On or near Church Close,E01002401,Hillingdon 024B,Unable to prosecute suspect
b8e70f1f2417ead0934eb8048cb4872cf2c48486dc2b205f554c62e6ec39e9e9,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.391924,51.475268,On or near Springwell Road,E01002622,Hounslow 010B,Investigation complete; no suspect identified
ce121ec896f420dc13e7cd260555998ae13b0a84c1dfdbe3fd53534f932f82a4,2024-02,Metropolitan Police Service,Metropolitan Police Service,0.122960,51.496851,On or near Tavy Bridge,E01000470,Bexley 002F,Investigation complete; no suspect identified
c364329eaf1fd884b4a1b0b013e15c7bcc17620eba0b91cae584eef94bcf3118,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.223472,51.510191,On or near Wood Lane,E01001943,Hammersmith and Fulham 004A,Investigation complete; no suspect identified
62a39a02fff3aa4c54e979605d19fe3985b3c3c0d318ac167d34675fa9606c21,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.135283,51.510729,On or near Denman Street,E01035716,Westminster 013G,Investigation complete; no suspect identified
f51de46eb8f270e84ef9f34a7a1696489e5d58b37df3f62c34bd09975aff057b,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.149605,51.491604,On or near Police Station,E01035721,Westminster 023H,Investigation complete; no suspect identified
46580a24ef2367bb8389392f83c175c79a079fb0b027471301fcc731b3dc6202,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.395688,51.475094,On or near Lancaster Place,E01002587,Hounslow 016A,Unable to prosecute suspect
2ed816813e43828fcdd8847dae2e08e550c32df848b35263b136a8a5ac448b0c,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.180955,51.463624,On or near Wynter Street,E01004538,Wandsworth 007C,Unable to prosecute suspect
77f5342281b947e19461d51149c271d61ae7befc5694d229592d6de476ef740c,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.021857,51.545533,On or near East Bay Lane,E01001849,Hackney 018D,Unable to prosecute suspect
2f19a85b0d1f8cc86985a1f6f4b0b9979bb42a29bdfaf8d8baf391d3897e4e63,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.176976,51.549332,On or near Nutley Terrace,E01000881,Camden 008A,Investigation complete; no suspect identified
e9531412c0b54e035494107fa50896e24082133fdecc6c063a1000e213c54b1b,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.260297,51.593616,On or near Supermarket,E01033929,Brent 002F,Unable to prosecute suspect
5ab554e2b5c8411d909c077276d8477edfd435a18ed91b0948089496b11d1ba6,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.131904,51.516178,On or near Further/Higher Educational Building,E01004763,Westminster 013B,Investigation complete; no suspect identified
1f84b231eb95f23d317b5bcccf9e5e49aa5a6b34403e7ab8de3b5d4aab522d06,2024-02,Metropolitan Police Service,Metropolitan Police Service,0.193535,51.455596,On or near Mill Place,E01000374,Bexley 019A,Investigation complete; no suspect identified
a080e4a09e1dae7578b79f67a6749bbf60203416fb199620fd395bd54013e5a6,2024-02,Metropolitan Police Service,Metropolitan Police Service,0.145046,51.551755,On or near Northfield Road,E01000065,Barking and Dagenham 007A,Unable to prosecute suspect
f541af7b4e706035dd676bb5507bdd0298eb82316d9e4ba807c56ad044a3149b,2024-02,Metropolitan Police Service,Metropolitan Police Service,0.187034,51.582207,On or near Petrol Station,E01002353,Havering 013B,Investigation complete; no suspect identified
8cc9c31e971d93014c5626aa1d35bd16f78c52dae8da5836061039021aff0290,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.222639,51.563800,On or near Petrol Station,E01000223,Barnet 039C,Investigation complete; no suspect identified
d44f5e52d47437400c0264da291cf13ba64804142029e5bfd93de2092ca155e8,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.225372,51.519887,On or near Calderon Place,E01002876,Kensington and Chelsea 003A,Investigation complete; no suspect identified
9f4d8fc01ab2d333f5182b44fdef387e7a899422d06271b07694fd1faa88e2f9,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.257779,51.586592,On or near Sunny View,E01000516,Brent 002C,Unable to prosecute suspect
8f13575881c1f17ce90416f86f97be7e07065668f977844e04df4e3a5dd19ffc,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.096429,51.489332,On or near Walworth Road,E01003994,Southwark 012E,Unable to prosecute suspect
c5a925e7439f850bf8767c2d79def3596e8fb5fc2af37d4d94f4f99774ca719b,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.070811,51.413348,On or near Madeline Road,E01034384,Bromley 005G,Investigation complete; no suspect identified
cb6728fb517baf1a9818c6cbc69a145e22ec314a717aac2928681726498b582a,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.337403,51.579852,On or near Harrow Bus Station,E01002129,Harrow 023C,Unable to prosecute suspect
433b4487b8e34849022b06e55528354493540326a67663b4774ba8646e33cc6c,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.144841,51.452806,On or near Englewood Road,E01003030,Lambeth 019D,Investigation complete; no suspect identified
362fe1c472a0b2471740909cb559c8b01c0cf3a620d8f03f20aae025b4e1c5a8,2024-02,Metropolitan Police Service,Metropolitan Police Service,-0.156883,51.367458,On or near Westcroft Road,E01004176,Sutton 010E,Investigation complete; no suspect identified
