Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3c88ed9e2449b8181613293adb8dcfc20acc1bf9bc25d29ab5202d0443776bce,2022-08,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
5a565583c91cc80ab62e1b0062854756d838101e03296fdd70f78fe7a770cdb4,2022-08,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
4b2cd798ac32ba77e458286f65dc8dc793a53a3808a72c03c8a76b52a0590c9f,2022-08,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
30ab31c8befeb711a5ad82f3c3f477f7fd844f7577d0b0a581d43b0bee14c3d1,2022-08,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
1e0bb2bebc243692987e2579e9f4413fe25ed6883459acd60b8a6b32eebd2545,2022-08,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
b5be8d70917fb43cbe313023a02efeeaebf660a7f2e3e8f9828e1fb9cf019b2c,2022-08,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
223da26ae8f57a57737aa4646a84bdbe3570e519505621053cc29778bcbc25b9,2022-08,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
29e92d2dc9453da2057ba34d5ad36959431ce9cd916b5eca1df3f69884afc251,2022-08,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
96b215c11664dbe2e6008897a73b05d7e5a89b0b23fd85ad0f49e4cf14e33ad6,2022-08,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
1e1d72568abeb2ec57974a3765538401c34dce2e9f0325080ddbd80f75dbd7a6,2022-08,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
1c66b5c3d9e40cdff99291d0994f4c475772ef9fa7aa9ce5fb234c79d2c61b2d,2022-08,Metropolitan Police Service,Metropolitan Police Service,-0.037707,51.479794,On or near Desmond Street,E01003300,Lewisham 039B,Suspect charged
4842afc493c70ebe0b5055f8e327650c1b2c4531f0741cbe8d7b5eed72c1c37e,2022-08,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Local resolution
81641ab474124d578b660d289b3e94a8413bfd467a6a5a043cf3158fa03ae31b,2022-08,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
