Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7346128b2d3218e8712c073483ed8cf8878fd29a5ad9c1f72af8097f171f08fc,2023-11,City of London Police,City of London Police,,,No location,,,Suspect charged
e39fb2cfebcceba23b892f755fd3e71d8e9c2f824e720ecadc411f0c8e68ba8a,2023-11,City of London Police,City of London Police,,,No location,,,Local resolution
df9abaca141ff86303da2dbe1dcc50222731948b4442b82c049250571ed5bcfa,2023-11,City of London Police,City of London Police,,,No location,,,Suspect charged
1b1b6373bb31a3867e1f6285e9e053856b65fd60af8ded0c5f751bba7ce968dc,2023-11,City of London Police,City of London Police,,,No location,,,Suspect charged
0123b87ea5ca26ef1debeaca8da082a99ec6db44491e7a4fa8e097663b733106,2023-11,City of London Police,City of London Police,,,No location,,,Suspect charged
364bcf1c70feb04ae9ea0b35b505f041cd7009cd5c046801baab4b6f18235be6,2023-11,City of London Police,City of London Police,,,No location,,,Unable to prosecute suspect
1cdaa714e337a8ed2bcd613359fba77f66184d68beb056165f3c23b59e218e75,2023-11,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
bb5c98fecda4a8309bab97bf59a760d2661f97029bb7ac72a6bed8d02ac4a6ea,2023-11,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
f9be0b17ff9c3d0328dccd79f2f5c51d7d23a2bf4101a308e9f1efbf4cf8a7aa,2023-11,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
56f3a7924ea972f6aa5747c574a68628a33d6ad63d4fd4212eb44b063e328eb6,2023-11,City of London Police,City of London Police,,,No location,,,Unable to prosecute suspect
1dec194aa834778a93ccb6104237b079670dc88875de6cf6997af07d714da502,2023-11,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
745ad2fd5c45ac97ec51084049a25c9271f7dce5a5d9502ac1828f592f1f4e0a,2023-11,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
0a9900942ddc6e2c940b65aa6285fbd522611c53642aa6ac4151e21da16856d1,2023-11,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
ec058c03482da2305e2e317c33dac3a28ad54aad13fa647fe00df8ea254589a3,2023-11,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
f38e18162f77a51ea2343244fdf20a42defaaabb8de52ac0485f2c62f52c68cc,2023-11,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
fb1ae619bee1a933cb914ba11b2a4d9f135fba7e5d837213d3b87757c9d61a78,2023-11,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
