ward,month,pred1,actual,pred2,abs_diff,rel_diff_pct
Abbey Road,1,9.820608,16.0,6.317460341042176,3.5031476589578237,43.414708438786974
Abbey Road,1,9.820608,16.0,6.317460341042176,3.5031476589578237,43.414708438786974
Abbey Road,2,9.003001,9.0,6.317460341042176,2.685540658957823,35.05822180123903
Abbey Road,2,9.003001,9.0,6.317460341042176,2.685540658957823,35.05822180123903
Abbey Road,3,9.019507,12.0,6.317460341042176,2.7020466589578245,35.23573596883222
Abbey Road,3,9.019507,12.0,6.317460341042176,2.7020466589578245,35.23573596883222
Abbey Road,4,8.303831,8.0,6.317460341042176,1.9863706589578243,27.170933300290006
Abbey Road,4,8.303831,8.0,6.317460341042176,1.9863706589578243,27.170933300290006
Abbey Road,5,8.303831,5.0,6.317460341042176,1.9863706589578243,27.170933300290006
Abbey Road,5,8.303831,5.0,6.317460341042176,1.9863706589578243,27.170933300290006
Abbey Road,6,8.303831,7.0,6.317460341042176,1.9863706589578243,27.170933300290006
Abbey Road,6,8.303831,7.0,6.317460341042176,1.9863706589578243,27.170933300290006
Abbey Road,7,8.354776,9.0,6.317460341042176,2.037315658957823,27.771031103948417
Abbey Road,7,8.354776,9.0,6.317460341042176,2.037315658957823,27.771031103948417
Abbey Road,8,8.4732485,9.0,6.317460341042176,2.155788158957824,29.150572594273633
Abbey Road,8,8.4732485,9.0,6.317460341042176,2.155788158957824,29.150572594273633
Abbey Road,9,8.504121,8.0,6.317460341042176,2.1866606589578232,29.506442108208525
Abbey Road,9,8.504121,8.0,6.317460341042176,2.1866606589578232,29.506442108208525
Abbey Road,10,9.027803,8.0,6.317460341042176,2.710342658957824,35.3248112948155
Abbey Road,10,9.027803,8.0,6.317460341042176,2.710342658957824,35.3248112948155
Abbey Road,11,9.03001,6.0,6.317460341042176,2.7125496589578244,35.34849194924233
Abbey Road,11,9.03001,6.0,6.317460341042176,2.7125496589578244,35.34849194924233
Abbey Road,12,9.002875,10.0,6.317460341042176,2.685414658957823,35.05686526017186
Abbey Road,12,9.002875,10.0,6.317460341042176,2.685414658957823,35.05686526017186
Abbey,1,19.052912,24.0,9.049731925947874,10.003180074052125,71.19031291440831
Abbey,1,19.052912,24.0,9.049731925947874,10.003180074052125,71.19031291440831
Abbey,2,17.09989,10.0,9.049731925947874,8.050158074052124,61.56997678091914
Abbey,2,17.09989,10.0,9.049731925947874,8.050158074052124,61.56997678091914
Abbey,3,16.989855,32.0,9.049731925947874,7.940123074052124,60.98501559669495
Abbey,3,16.989855,32.0,9.049731925947874,7.940123074052124,60.98501559669495
Abbey,4,14.5348215,28.0,9.049731925947874,5.485089574052125,46.51425426624695
Abbey,4,14.5348215,28.0,9.049731925947874,5.485089574052125,46.51425426624695
Abbey,5,14.473196,16.0,9.049731925947874,5.423464074052125,46.11215143901847
Abbey,5,14.473196,16.0,9.049731925947874,5.423464074052125,46.11215143901847
Abbey,6,14.473196,10.0,9.049731925947874,5.423464074052125,46.11215143901847
Abbey,6,14.473196,10.0,9.049731925947874,5.423464074052125,46.11215143901847
Abbey,7,14.802746,14.0,9.049731925947874,5.7530140740521265,48.23829282570027
Abbey,7,14.802746,14.0,9.049731925947874,5.7530140740521265,48.23829282570027
Abbey,8,15.096571,16.0,9.049731925947874,6.0468390740521265,50.0850096397501
Abbey,8,15.096571,16.0,9.049731925947874,6.0468390740521265,50.0850096397501
Abbey,9,15.127443,6.0,9.049731925947874,6.077711074052125,50.276437116143725
Abbey,9,15.127443,6.0,9.049731925947874,6.077711074052125,50.276437116143725
Abbey,10,16.148212,14.0,9.049731925947874,7.0984800740521266,56.34174038098707
Abbey,10,16.148212,14.0,9.049731925947874,7.0984800740521266,56.34174038098707
Abbey,11,16.426146,14.0,9.049731925947874,7.376414074052125,57.90900785043445
Abbey,11,16.426146,14.0,9.049731925947874,7.376414074052125,57.90900785043445
Abbey,12,16.39901,20.0,9.049731925947874,7.349278074052126,57.75749618930046
Abbey,12,16.39901,20.0,9.049731925947874,7.349278074052126,57.75749618930046
