ward_name,forecast,tier,officers_per_shift,month_num
Kilburn Ward,65.67614,Very High,18,1
West End Ward,49.17236,Very High,18,1
Lea Bridge Ward,37.229065,Very High,18,1
Highgate Ward,34.33211,Very High,18,1
Regent's Park Ward,33.509354,Very High,18,1
Marylebone Ward,32.459114,Very High,17,1
St. James's Ward,30.8302,Very High,17,1
Village Ward,29.955896,Very High,17,1
Bloomsbury Ward,27.645115,Very High,17,1
Holborn & Covent Garden Ward,27.394402,Very High,17,1
Edgware Ward,25.5912,Very High,17,1
Wandle Ward,23.090082,Very High,17,1
Hoxton East & Shoreditch Ward,21.131641,Very High,17,1
Hyde Park Ward,19.521566,Very High,17,1
Stratford Olympic Park Ward,18.451838,Very High,17,1
Deptford Ward,18.196447,Very High,17,1
Childs Hill Ward,17.885807,Very High,17,1
Fairfield Ward,16.823542,Very High,17,1
London Fields Ward,16.6306,Very High,17,1
Abbey Ward,16.42547,Very High,17,1
Borough & Bankside Ward,16.011845,Very High,17,1
Weavers Ward,15.905461,Very High,17,1
Bow East Ward,15.756096,Very High,17,1
Bethnal Green West Ward,15.744393,Very High,17,1
Edmonton Green Ward,15.414732,Very High,17,1
Bayswater Ward,15.311078,Very High,17,1
Spitalfields & Banglatown Ward,15.103313,Very High,17,1
Wandsworth Town Ward,15.071349,Very High,17,1
Woodside Ward,15.042049,Very High,17,1
South Bermondsey Ward,14.672696,Very High,17,1
North Walworth Ward,14.566945,Very High,17,1
Whitechapel Ward,14.303273,Very High,17,1
Clapham Town Ward,14.161476,Very High,17,1
Belmont Ward,14.140431,Very High,17,1
Dalston Ward,14.084219,Very High,17,1
Rye Lane Ward,14.051369,Very High,17,1
Stonebridge Ward,14.037894,Very High,17,1
London Bridge & West Bermondsey Ward,13.628275,Very High,17,1
Hillrise Ward,13.619173,Very High,17,1
Bethnal Green East Ward,13.501608,Very High,17,1
Uxbridge Ward,13.373308,Very High,17,1
Dollis Hill Ward,13.234557,Very High,17,1
Brockley Ward,13.090847,Very High,17,1
Burnt Oak Ward,12.7852745,Very High,17,1
Upper Edmonton Ward,12.769073,Very High,17,1
Enfield Lock Ward,12.652664,Very High,17,1
Cricklewood & Mapesbury Ward,12.393088,Very High,17,1
Junction Ward,12.379684,Very High,17,1
Lancaster Gate Ward,12.248372,Very High,17,1
Lansbury Ward,12.2384615,Very High,17,1
Rushey Green Ward,12.134456,Very High,17,1
Penge & Cator Ward,12.133456,Very High,17,1
North Acton Ward,12.122213,Very High,17,1
Sydenham Ward,12.112309,Very High,17,1
Brimsdown Ward,12.02762,Very High,17,1
Canary Wharf Ward,11.999826,Very High,17,1
Heaton Ward,11.889484,Very High,17,1
Noel Park Ward,11.847312,Very High,17,1
Chaucer Ward,11.731212,Very High,17,1
Bunhill Ward,11.730499,Very High,17,1
Hendon Ward,11.670802,Very High,17,1
