ward_name,month_num,predicted_burglaries,actual_burglaries
Abbey Road Ward,1,9.820608,16.0
Abbey Road Ward,2,9.003001,9.0
Abbey Road Ward,3,9.019507,12.0
Abbey Road Ward,4,8.303831,8.0
Abbey Road Ward,5,8.303831,5.0
Abbey Road Ward,6,8.303831,7.0
Abbey Road Ward,7,8.354776,9.0
Abbey Road Ward,8,8.4732485,9.0
Abbey Road Ward,9,8.504121,8.0
Abbey Road Ward,10,9.027803,8.0
Abbey Road Ward,11,9.03001,6.0
Abbey Road Ward,12,9.002875,10.0
Abbey Ward,1,19.052912,24.0
Abbey Ward,2,17.09989,10.0
Abbey Ward,3,16.989855,32.0
Abbey Ward,4,14.5348215,28.0
Abbey Ward,5,14.473196,16.0
Abbey Ward,6,14.473196,10.0
Abbey Ward,7,14.802746,14.0
Abbey Ward,8,15.096571,16.0
Abbey Ward,9,15.127443,6.0
Abbey Ward,10,16.148212,14.0
Abbey Ward,11,16.426146,14.0
Abbey Ward,12,16.39901,20.0
Abbey Wood Ward,1,7.8956785,7.0
Abbey Wood Ward,2,7.1039357,4.0
Abbey Wood Ward,3,7.1039357,2.0
Abbey Wood Ward,4,6.035801,12.0
Abbey Wood Ward,5,6.035801,13.0
Abbey Wood Ward,6,6.035801,7.0
Abbey Wood Ward,7,6.0720124,6.0
Abbey Wood Ward,8,6.1670117,13.0
Abbey Wood Ward,9,6.1670117,12.0
Abbey Wood Ward,10,6.8695984,7.0
Abbey Wood Ward,11,6.9955406,3.0
Abbey Wood Ward,12,6.968406,5.0
Abingdon Ward,1,7.5388308,2.0
Abingdon Ward,2,6.999285,5.0
Abingdon Ward,3,7.015792,5.0
Abingdon Ward,4,6.5229135,4.0
Abingdon Ward,5,6.5229135,1.0
Abingdon Ward,6,6.5229135,7.0
Abingdon Ward,7,6.579137,6.0
Abingdon Ward,8,6.6976085,4.0
Abingdon Ward,9,6.72848,6.0
Abingdon Ward,10,6.8659334,9.0
Abingdon Ward,11,6.7733064,10.0
Abingdon Ward,12,6.773848,4.0
Addiscombe East Ward,1,5.8649716,3.0
Addiscombe East Ward,2,5.4222035,11.0
Addiscombe East Ward,3,5.4222035,16.0
Addiscombe East Ward,4,4.587317,5.0
Addiscombe East Ward,5,4.587317,1.0
Addiscombe East Ward,6,4.587317,6.0
Addiscombe East Ward,8,4.7332344,2.0
