ward_name,year,month_num,imd_score,income_score,employment_domain_score,education_domain_score,health_domain_score,crime_domain_score,housing_domain_score,environment_domain_score,burglaries,lag1,lag2,lag3,lag12
Abbey Road Ward,2012,3,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,11,16.0,12.0,10.0,
Abbey Road Ward,2012,4,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,14,11.0,16.0,12.0,
Abbey Road Ward,2012,5,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,9,14.0,11.0,16.0,
Abbey Road Ward,2012,6,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,12,9.0,14.0,11.0,
Abbey Road Ward,2012,7,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,12,12.0,9.0,14.0,
Abbey Road Ward,2012,8,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,16,12.0,12.0,9.0,
Abbey Road Ward,2012,9,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,16,16.0,12.0,12.0,
Abbey Road Ward,2012,10,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,13,16.0,16.0,12.0,
Abbey Road Ward,2012,11,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,12,13.0,16.0,16.0,
Abbey Road Ward,2012,12,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,18,12.0,13.0,16.0,10.0
Abbey Road Ward,2013,1,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,17,18.0,12.0,13.0,12.0
Abbey Road Ward,2013,2,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,8,17.0,18.0,12.0,16.0
Abbey Road Ward,2013,3,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,8,8.0,17.0,18.0,11.0
Abbey Road Ward,2013,4,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,14,8.0,8.0,17.0,14.0
Abbey Road Ward,2013,5,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,13,14.0,8.0,8.0,9.0
Abbey Road Ward,2013,6,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,8,13.0,14.0,8.0,12.0
Abbey Road Ward,2013,7,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,3,8.0,13.0,14.0,12.0
