ward_name,forecast,tier,officers_per_shift,month_num
West End Ward,48.645725,Very High,18,1
St. James's Ward,24.274998,Very High,17,1
Marylebone Ward,23.025187,Very High,17,1
Bloomsbury Ward,22.385246,Very High,17,1
Holborn & Covent Garden Ward,19.959032,Very High,17,1
Hoxton East & Shoreditch Ward,19.602425,Very High,17,1
Bethnal Green West Ward,18.190834,Very High,17,1
Childs Hill Ward,17.644627,Very High,17,1
Fairfield Ward,17.120302,Very High,17,1
Rushey Green Ward,16.26198,Very High,17,1
Deptford Ward,15.774385,Very High,17,1
Hendon Ward,15.486537,Very High,17,1
Hyde Park Ward,15.4376,Very High,17,1
Bow East Ward,15.199837,Very High,17,1
Lancaster Gate Ward,15.086555,Very High,17,1
London Bridge & West Bermondsey Ward,14.935983,Very High,17,1
Spitalfields & Banglatown Ward,14.878888,Very High,17,1
Whitechapel Ward,14.871698,Very High,17,1
Stonebridge Ward,14.508181,Very High,17,1
Bayswater Ward,14.392576,Very High,17,1
Borough & Bankside Ward,14.170202,Very High,17,1
Bethnal Green East Ward,13.882114,Very High,17,1
London Fields Ward,13.64108,Very High,17,1
Lansbury Ward,13.434999,Very High,17,1
Dollis Hill Ward,13.328514,Very High,17,1
Weavers Ward,13.127208,Very High,17,1
Mile End Ward,13.091345,Very High,17,1
Finchley Church End Ward,12.71049,Very High,17,1
Brixton Acre Lane Ward,12.542474,Very High,17,1
Clapham Town Ward,12.419367,Very High,17,1
Finsbury Park Ward,12.395765,Very High,17,1
Queens Park Ward,12.3224745,Very High,17,1
Bunhill Ward,12.186069,Very High,17,1
Northumberland Park Ward,12.169792,Very High,17,1
Lea Bridge Ward (E05009380),12.133473,Very High,17,1
North Walworth Ward,12.129873,Very High,17,1
Clerkenwell Ward,12.079482,Very High,17,1
Brockley Ward,12.071264,Very High,17,1
Brimsdown Ward,11.941375,Very High,17,1
Rye Lane Ward,11.91563,Very High,17,1
Edmonton Green Ward,11.789833,Very High,17,1
St. Mary Cray Ward,11.502863,Very High,17,1
North Acton Ward,11.48406,Very High,17,1
Harlesden & Kensal Green Ward,11.447519,Very High,17,1
Kilburn Ward (E05013503),11.432412,Very High,17,1
Junction Ward,11.40676,Very High,17,1
Broad Green Ward,11.38877,Very High,17,1
Harringay Ward,11.176198,Very High,17,1
Balham Ward,11.131626,Very High,17,1
Wandsworth Town Ward,11.11603,Very High,17,1
Dalston Ward,10.978463,Very High,17,1
South Bermondsey Ward,10.84407,Very High,17,1
Burnt Oak Ward,10.805331,Very High,17,1
Edgware Ward (E05013637),10.764959,Very High,17,1
Upper Edmonton Ward,10.726668,Very High,17,1
Hoxton West Ward,10.688668,Very High,17,1
St. Paul's Cray Ward,10.646911,Very High,17,1
Penge & Cator Ward,10.635679,Very High,17,1
Herne Hill & Loughborough Junction Ward,10.61681,Very High,17,1
Noel Park Ward,10.5419655,Very High,17,1
Brompton & Hans Town Ward,10.515994,Very High,17,1
Hackney Central Ward,10.434851,Very High,17,1
North Bermondsey Ward,10.401896,Very High,17,1
Camberwell Green Ward,10.299202,Very High,17,1
Hither Green Ward,10.251326,Very High,17,1
West Finchley Ward,10.226677,Very High,17,1
Enfield Lock Ward,10.193899,Very High,17,1
Greenwich Peninsula Ward,10.185039,Very High,17,1
Hackney Downs Ward,10.172311,Very High,17,1
Streatham St. Leonard's Ward,10.165703,Very High,17,1
West Thornton Ward,10.088434,Very High,17,1
Sydenham Ward,10.051479,Very High,17,1
Willesden Green Ward,10.041635,Very High,17,1
Victoria Ward,10.004294,Very High,17,1
Haggerston Ward,9.996475,Very High,17,1
Mill Hill Ward,9.957916,Very High,17,1
Waddon Ward,9.861626,Very High,17,1
Chaucer Ward,9.845153,Very High,17,1
Tollington Ward,9.810222,Very High,17,1
Gooshays Ward,9.805331,Very High,17,1
Knightsbridge & Belgravia Ward,9.746482,Very High,17,1
Homerton Ward,9.7166605,Very High,17,1
Friern Barnet Ward,9.68662,Very High,17,1
St. Giles Ward,9.648275,Very High,17,1
Brixton Windrush Ward,9.647913,Very High,17,1
Stratford Ward,9.637094,Very High,17,1
Bruce Castle Ward,9.617024,Very High,17,1
Forest Hill Ward,9.585425,Very High,17,1
Crouch End Ward,9.561652,Very High,17,1
Tottenham Central Ward,9.502235,Very High,17,1
Old Kent Road Ward,9.46552,Very High,17,1
Stoke Newington Ward,9.407004,Very High,17,1
Hackney Wick Ward,9.35525,Very High,17,1
Bow West Ward,9.323958,Very High,17,1
Waterloo & South Bank Ward,9.291201,Very High,17,1
Uxbridge Ward,9.288473,Very High,17,1
Mildmay Ward,9.277586,Very High,17,1
East Acton Ward,9.259213,Very High,17,1
Tooting Broadway Ward,9.241578,Very High,17,1
Highgate Ward (E05013592),9.226848,Very High,17,1
Faraday Ward,9.21743,Very High,17,1
Hanger Hill Ward,9.217034,Very High,17,1
Highbury Ward,9.147729,Very High,17,1
South Acton Ward,9.142904,Very High,17,1
Ladywell Ward,9.123165,Very High,17,1
Thamesfield Ward,9.121082,Very High,17,1
Cricklewood & Mapesbury Ward,9.086396,Very High,17,1
Camden Town Ward,9.085308,Very High,17,1
Custom House Ward,9.0824585,Very High,17,1
East Greenwich Ward,9.080582,Very High,17,1
Heaton Ward,9.056014,Very High,17,1
Jubilee Ward,8.944514,Very High,17,1
Colville Ward,8.939196,Very High,17,1
West Green Ward,8.927939,Very High,17,1
West Hendon Ward,8.916384,Very High,17,1
Perry Vale Ward,8.910497,Very High,17,1
Nunhead & Queen's Road Ward,8.894833,Very High,17,1
Stockwell West & Larkhall Ward,8.870172,Very High,17,1
Regent's Park Ward (E05013668),8.8430605,Very High,17,1
Courtfield Ward,8.74726,Very High,17,1
Barnet Vale Ward,8.735721,Very High,17,1
Springfield Ward,8.730037,Very High,17,1
Battersea Park Ward,8.728229,Very High,17,1
Forest Gate South Ward,8.679297,Very High,17,1
Garden Suburb Ward,8.6567335,Very High,17,1
Purley & Woodcote Ward,8.646497,Very High,17,1
Haselbury Ward,8.635854,Very High,17,1
Plumstead & Glyndon Ward,8.633703,Very High,17,1
Cricklewood Ward,8.63221,Very High,17,1
South Norwood Ward,8.620179,Very High,17,1
Brixton North Ward,8.618652,Very High,17,1
Heathrow Villages Ward,8.614711,Very High,17,1
West Putney Ward,8.588227,Very High,17,1
Kilburn Ward (E05013665),8.560818,Very High,17,1
St. Mary's & St. James' Ward,8.545508,Very High,17,1
Hoe Street Ward,8.526359,Very High,17,1
South Tottenham Ward,8.519298,Very High,17,1
Golders Green Ward,8.516081,Very High,17,1
Crystal Palace & Upper Norwood Ward,8.513017,Very High,17,1
Ponders End Ward,8.510018,Very High,17,1
Roehampton Ward,8.468618,Very High,17,1
Whitewebbs Ward,8.460524,High,9,1
Evelyn Ward,8.454728,High,9,1
Regent's Park Ward (E05013805),8.432927,High,9,1
Ealing Common Ward,8.42459,High,9,1
Roundwood Ward,8.418599,High,9,1
Brondesbury Park Ward,8.409225,High,9,1
Hillrise Ward,8.392914,High,9,1
Brixton Rush Common Ward,8.383908,High,9,1
Downham Ward,8.365757,High,9,1
Surrey Docks Ward,8.356492,High,9,1
South Richmond Ward,8.329512,High,9,1
Belsize Ward,8.313945,High,9,1
Bullsmoor Ward,8.302698,High,9,1
St. Katharine's & Wapping Ward,8.299529,High,9,1
Wood End Ward,8.27652,High,9,1
Clissold Ward,8.2737465,High,9,1
White Hart Lane Ward,8.264635,High,9,1
Knight's Hill Ward,8.256427,High,9,1
South Croydon Ward,8.227647,High,9,1
Blackheath Westcombe Ward,8.199136,High,9,1
Selhurst Ward,8.165368,High,9,1
Crystal Palace & Anerley Ward,8.137314,High,9,1
Kennington Ward,8.122467,High,9,1
Canonbury Ward,8.116143,High,9,1
Chiswick Gunnersbury Ward,8.0903635,High,9,1
West Hampstead Ward,8.075006,High,9,1
Goose Green Ward,8.074969,High,9,1
Carterhatch Ward,8.073111,High,9,1
Arsenal Ward,8.05224,High,9,1
Canary Wharf Ward,8.0439825,High,9,1
Thornton Heath Ward,8.042585,High,9,1
Laycock Ward,8.032075,High,9,1
Chiswick Homefields Ward,8.012192,High,9,1
Abbey Road Ward,7.9882402,High,9,1
Plaistow West & Canning Town East Ward,7.9868774,High,9,1
Central Greenford Ward,7.951283,High,9,1
Whalebone Ward,7.9328423,High,9,1
Woodhouse Ward,7.9076953,High,9,1
Tottenham Hale Ward,7.9048386,High,9,1
East Barnet Ward,7.885819,High,9,1
Lower Edmonton Ward,7.8727994,High,9,1
Rotherhithe Ward,7.8382564,High,9,1
Oval Ward,7.8336873,High,9,1
Lavender Ward,7.8305383,High,9,1
St. Mary's Ward,7.8252788,High,9,1
Colham & Cowley Ward,7.7702675,High,9,1
Catford South Ward,7.7404075,High,9,1
Beckenham Town & Copers Cope Ward,7.7313957,High,9,1
East Putney Ward,7.723972,High,9,1
Mortlake & Barnes Common Ward,7.7225337,High,9,1
Osterley & Spring Grove Ward,7.719437,High,9,1
Blackwall & Cubitt Town Ward,7.706914,High,9,1
Lewisham Central Ward,7.694311,High,9,1
