ward_name,month_num,predicted_burglaries,actual_burglaries
Abbey Road Ward,1,9.075682,16
Abbey Road Ward,2,9.8062935,9
Abbey Road Ward,3,9.24132,12
Abbey Road Ward,4,8.51156,8
Abbey Road Ward,5,8.832938,5
Abbey Road Ward,6,7.9571447,7
Abbey Road Ward,7,8.193748,9
Abbey Road Ward,8,7.9928403,9
Abbey Road Ward,9,7.819748,8
Abbey Road Ward,10,7.993098,8
Abbey Road Ward,11,7.8678074,6
Abbey Road Ward,12,7.897723,10
Abbey Wood Ward,1,5.7605276,7
Abbey Wood Ward,2,4.9639015,4
Abbey Wood Ward,3,4.876041,2
Abbey Wood Ward,4,4.2776446,12
Abbey Wood Ward,5,5.4860187,13
Abbey Wood Ward,6,5.9363575,7
Abbey Wood Ward,7,5.220259,6
Abbey Wood Ward,8,5.101762,13
Abbey Wood Ward,9,6.4482417,12
Abbey Wood Ward,10,8.223507,7
Abbey Wood Ward,11,7.742621,3
Abbey Wood Ward,12,6.6806893,5
Abingdon Ward,1,7.243953,2
Abingdon Ward,2,6.092422,5
Abingdon Ward,3,5.3842196,5
Abingdon Ward,4,5.293859,4
Abingdon Ward,5,5.384946,1
Abingdon Ward,6,4.923759,7
Abingdon Ward,7,4.9638767,6
Abingdon Ward,8,5.0581994,4
Abingdon Ward,9,4.568587,6
Abingdon Ward,10,5.116947,9
Abingdon Ward,11,5.338515,10
Abingdon Ward,12,6.014339,4
Addiscombe East Ward,1,5.214711,3
Addiscombe East Ward,2,4.784802,11
Addiscombe East Ward,3,5.0151925,16
Addiscombe East Ward,4,5.7503,5
Addiscombe East Ward,5,4.6683655,1
Addiscombe East Ward,6,4.212369,6
Addiscombe East Ward,7,4.879929,0
Addiscombe East Ward,8,4.410206,2
Addiscombe East Ward,9,4.2456365,4
Addiscombe East Ward,10,4.378867,1
Addiscombe East Ward,11,4.4362864,1
Addiscombe East Ward,12,3.7089021,5
Addiscombe West Ward,1,9.194203,9
Addiscombe West Ward,2,8.302697,10
Addiscombe West Ward,3,7.9813538,8
Addiscombe West Ward,4,6.623202,9
Addiscombe West Ward,5,6.6890345,6
Addiscombe West Ward,6,7.2199135,10
Addiscombe West Ward,7,7.399096,5
Addiscombe West Ward,8,7.1828237,3
Addiscombe West Ward,9,6.775319,13
Addiscombe West Ward,10,7.0191293,8
Addiscombe West Ward,11,7.6254435,7
Addiscombe West Ward,12,7.0717115,10
Addison Ward,1,4.8437333,4
Addison Ward,2,4.751038,8
Addison Ward,3,5.1650305,10
Addison Ward,4,5.0735817,4
Addison Ward,5,4.3779416,3
Addison Ward,6,4.531448,5
Addison Ward,7,4.824912,9
Addison Ward,8,5.1496596,4
